epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.867,3.52105,21.8916,1.23086,0.56985,0.06615,0.17057,0.04295,2.99009,4.43856,0.9891,0.000658824,0.000658824,0.000658824
2,44.6523,2.75005,4.91283,0.98497,0.4842,0.41786,0.34742,0.10875,2.63128,2.93124,0.97066,0.00131674,0.00131674,0.00131674
3,57.8123,2.62997,3.46877,0.96219,0.54619,0.44101,0.4037,0.1132,2.54381,2.58088,0.92759,0.00196586,0.00196586,0.00196586
4,70.9613,2.59061,2.97734,0.95694,0.49761,0.38767,0.35543,0.11452,2.64788,2.66232,0.96175,0.0019604,0.0019604,0.0019604
5,84.1279,2.6102,2.86915,0.95023,0.57715,0.42999,0.43936,0.14334,2.45083,2.55789,0.92941,0.0019472,0.0019472,0.0019472
6,97.3176,2.49695,2.65693,0.94564,0.5649,0.47409,0.44484,0.14512,2.43126,2.45518,0.93273,0.001934,0.001934,0.001934
7,110.502,2.4813,2.59278,0.93521,0.59117,0.4774,0.45717,0.145,2.41825,2.39215,0.9265,0.0019208,0.0019208,0.0019208
8,123.647,2.46322,2.55654,0.93422,0.66406,0.46196,0.48679,0.16451,2.31065,2.32889,0.92175,0.0019076,0.0019076,0.0019076
9,136.753,2.43638,2.51055,0.93112,0.66441,0.51709,0.52511,0.17459,2.39493,2.30617,0.92474,0.0018944,0.0018944,0.0018944
10,149.917,2.36947,2.44469,0.9246,0.63537,0.49283,0.50665,0.17424,2.31982,2.42609,0.91685,0.0018812,0.0018812,0.0018812
11,163.175,2.35942,2.40754,0.92655,0.69178,0.51965,0.54794,0.18252,2.31335,2.24439,0.92156,0.001868,0.001868,0.001868
12,176.39,2.3426,2.38149,0.9172,0.66999,0.48953,0.52154,0.1798,2.36197,2.3548,0.92128,0.0018548,0.0018548,0.0018548
13,189.508,2.30921,2.28358,0.91875,0.72336,0.47857,0.54502,0.19828,2.2866,2.26136,0.92016,0.0018416,0.0018416,0.0018416
14,202.728,2.31391,2.29629,0.91551,0.70037,0.49504,0.53424,0.18285,2.36215,2.14576,0.92486,0.0018284,0.0018284,0.0018284
15,215.867,2.29101,2.24551,0.91424,0.70734,0.56119,0.58502,0.20039,2.34901,1.98597,0.92322,0.0018152,0.0018152,0.0018152
16,229.057,2.32285,2.29584,0.91286,0.72775,0.53473,0.58351,0.19609,2.34594,2.00296,0.90951,0.001802,0.001802,0.001802
17,242.211,2.27648,2.21031,0.90726,0.71876,0.54576,0.5766,0.19104,2.32735,2.15276,0.90855,0.0017888,0.0017888,0.0017888
18,255.391,2.26647,2.1706,0.9061,0.70233,0.54889,0.59166,0.20815,2.28339,2.1094,0.91278,0.0017756,0.0017756,0.0017756
19,268.562,2.24646,2.16451,0.90507,0.69056,0.52899,0.55499,0.19266,2.22062,2.098,0.90682,0.0017624,0.0017624,0.0017624
20,281.779,2.20141,2.14202,0.90584,0.6806,0.54906,0.58803,0.20992,2.24762,2.05972,0.90838,0.0017492,0.0017492,0.0017492
21,294.989,2.21259,2.17246,0.89327,0.75055,0.51709,0.58538,0.21543,2.21328,2.08799,0.90757,0.001736,0.001736,0.001736
22,308.186,2.21673,2.15726,0.90348,0.72563,0.54024,0.57015,0.19937,2.28529,2.0871,0.91339,0.0017228,0.0017228,0.0017228
23,321.286,2.2056,2.1259,0.90143,0.73501,0.5656,0.61516,0.22428,2.24503,2.02078,0.90533,0.0017096,0.0017096,0.0017096
24,334.439,2.21065,2.1186,0.89557,0.71856,0.54609,0.56896,0.20849,2.29564,2.0657,0.90817,0.0016964,0.0016964,0.0016964
25,347.554,2.18826,2.0778,0.89764,0.75096,0.53473,0.58656,0.2232,2.28,1.89134,0.91486,0.0016832,0.0016832,0.0016832
26,360.696,2.18428,2.09086,0.90164,0.75334,0.57552,0.60531,0.22827,2.22828,2.03475,0.90312,0.00167,0.00167,0.00167
27,374.606,2.17837,2.08081,0.8948,0.73652,0.55237,0.60414,0.2128,2.21822,1.89773,0.89659,0.0016568,0.0016568,0.0016568
28,388.725,2.1613,2.05923,0.88947,0.76238,0.55458,0.6249,0.23896,2.14065,1.84541,0.90533,0.0016436,0.0016436,0.0016436
29,402.611,2.158,2.06939,0.89286,0.73493,0.55328,0.6135,0.23172,2.24617,2.01127,0.9025,0.0016304,0.0016304,0.0016304
30,416.399,2.15071,2.02704,0.89164,0.72304,0.59294,0.62533,0.23363,2.2073,2.0234,0.90282,0.0016172,0.0016172,0.0016172
