epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9869,3.52688,95.8196,1.25179,0.41341,0.32635,0.24813,0.0684,2.80528,3.76509,0.98565,0.000658824,0.000658824,0.000658824
2,39.1125,2.71971,3.03488,0.97541,0.45974,0.41345,0.35479,0.11141,2.64225,2.66557,0.96776,0.00131674,0.00131674,0.00131674
3,57.8706,2.61971,2.79598,0.95138,0.55577,0.43771,0.41321,0.12055,2.52145,2.32075,0.95038,0.00196586,0.00196586,0.00196586
4,76.5563,2.55629,2.61593,0.9514,0.54405,0.45535,0.4257,0.13314,2.51459,2.31489,0.91679,0.0019604,0.0019604,0.0019604
5,95.2042,2.52747,2.64446,0.93589,0.59203,0.44653,0.43711,0.13603,2.47917,2.34371,0.93356,0.0019472,0.0019472,0.0019472
6,113.857,2.43949,2.44775,0.93763,0.65294,0.47519,0.50771,0.16069,2.40132,2.2698,0.93064,0.001934,0.001934,0.001934
7,132.5,2.38965,2.38997,0.92507,0.68486,0.47189,0.50907,0.17107,2.33847,2.21504,0.90357,0.0019208,0.0019208,0.0019208
8,151.152,2.375,2.39478,0.92154,0.67126,0.51105,0.52456,0.18388,2.29912,2.0978,0.91082,0.0019076,0.0019076,0.0019076
9,169.835,2.3251,2.33537,0.91442,0.67358,0.48732,0.51961,0.17823,2.27309,2.16547,0.90594,0.0018944,0.0018944,0.0018944
10,188.39,2.30777,2.33762,0.91536,0.68562,0.58187,0.57984,0.20395,2.26103,2.02804,0.91077,0.0018812,0.0018812,0.0018812
11,207.041,2.26706,2.2719,0.91215,0.66835,0.52701,0.54458,0.19671,2.14067,2.02859,0.88971,0.001868,0.001868,0.001868
12,225.656,2.28211,2.21356,0.90862,0.70967,0.55248,0.58806,0.21952,2.1854,1.91156,0.89823,0.0018548,0.0018548,0.0018548
13,244.314,2.2493,2.14416,0.90776,0.69435,0.54602,0.56502,0.2062,2.28649,1.94431,0.91335,0.0018416,0.0018416,0.0018416
14,262.922,2.24717,2.14578,0.90696,0.68813,0.59316,0.59714,0.2147,2.17332,1.9469,0.89389,0.0018284,0.0018284,0.0018284
15,281.493,2.23562,2.14297,0.90428,0.74472,0.54678,0.58883,0.20324,2.26705,1.92112,0.90118,0.0018152,0.0018152,0.0018152
16,300.051,2.22293,2.10908,0.90152,0.74303,0.56108,0.59957,0.21353,2.24193,1.98316,0.88996,0.001802,0.001802,0.001802
17,318.658,2.2023,2.07093,0.89439,0.74784,0.58104,0.62328,0.22919,2.13991,1.88828,0.90291,0.0017888,0.0017888,0.0017888
18,337.296,2.20324,2.07545,0.89736,0.63885,0.53032,0.53378,0.17276,2.52262,2.20288,0.93069,0.0017756,0.0017756,0.0017756
19,355.865,2.18703,2.06433,0.89645,0.75053,0.56056,0.6069,0.22501,2.1369,1.85484,0.89073,0.0017624,0.0017624,0.0017624
20,374.414,2.13569,2.01443,0.89463,0.74076,0.55134,0.62295,0.22013,2.24973,1.88815,0.90013,0.0017492,0.0017492,0.0017492
21,392.996,2.14721,2.01635,0.8856,0.75319,0.5888,0.64599,0.24791,2.1546,1.76738,0.89262,0.001736,0.001736,0.001736
22,411.649,2.15456,2.00194,0.89372,0.74636,0.56009,0.59986,0.20899,2.15565,1.77678,0.89543,0.0017228,0.0017228,0.0017228
23,430.214,2.12163,1.97006,0.89045,0.75639,0.61275,0.6779,0.2671,2.16942,1.85388,0.89249,0.0017096,0.0017096,0.0017096
24,448.889,2.13693,1.99128,0.88677,0.77028,0.57993,0.64517,0.24414,2.15452,1.74996,0.89346,0.0016964,0.0016964,0.0016964
25,468.158,2.13381,1.93814,0.88935,0.76631,0.59978,0.65723,0.26301,2.07877,1.73546,0.88357,0.0016832,0.0016832,0.0016832
26,487.814,2.10057,1.90791,0.88673,0.77556,0.57663,0.63829,0.24247,2.1397,1.83812,0.88644,0.00167,0.00167,0.00167
27,506.977,2.09945,1.93234,0.88326,0.78911,0.61301,0.68215,0.25239,2.17362,1.75823,0.89774,0.0016568,0.0016568,0.0016568
28,526.174,2.10918,1.94639,0.88029,0.80932,0.57222,0.64942,0.24552,2.14744,1.78097,0.89929,0.0016436,0.0016436,0.0016436
29,545.294,2.09224,1.91982,0.88444,0.80465,0.59036,0.68664,0.25964,2.08934,1.73029,0.88433,0.0016304,0.0016304,0.0016304
30,563.85,2.07396,1.88441,0.87964,0.79573,0.57983,0.65538,0.24903,2.08192,1.71681,0.88915,0.0016172,0.0016172,0.0016172
31,582.432,2.07299,1.89143,0.87854,0.82542,0.59868,0.68244,0.27018,2.09079,1.68179,0.8868,0.001604,0.001604,0.001604
32,601.728,2.06526,1.85239,0.88241,0.79145,0.5816,0.66367,0.2572,2.11842,1.8426,0.89242,0.0015908,0.0015908,0.0015908
33,620.612,2.0753,1.85663,0.87888,0.80086,0.61963,0.69914,0.26534,2.13787,1.75409,0.89501,0.0015776,0.0015776,0.0015776
34,639.262,2.0467,1.81107,0.88207,0.7561,0.6108,0.66185,0.25065,2.09667,1.67891,0.89167,0.0015644,0.0015644,0.0015644
35,657.963,2.05068,1.84086,0.87909,0.75489,0.62624,0.68739,0.27583,2.06285,1.69093,0.88582,0.0015512,0.0015512,0.0015512
36,676.782,2.03693,1.82762,0.88329,0.79872,0.62955,0.69824,0.27868,2.0659,1.73391,0.89065,0.001538,0.001538,0.001538
37,695.566,2.02844,1.81553,0.87718,0.7878,0.61742,0.68473,0.26953,2.07747,1.72794,0.8834,0.0015248,0.0015248,0.0015248
38,714.237,2.0358,1.79836,0.87743,0.7554,0.63333,0.68973,0.26532,2.05996,1.66404,0.88175,0.0015116,0.0015116,0.0015116
39,732.928,2.03878,1.80787,0.87642,0.79163,0.6075,0.68184,0.26514,2.16292,1.74533,0.89304,0.0014984,0.0014984,0.0014984
40,751.627,1.98479,1.77569,0.86912,0.77859,0.63727,0.69341,0.28154,2.05629,1.74115,0.8837,0.0014852,0.0014852,0.0014852
41,770.378,2.01014,1.74141,0.87625,0.77193,0.61632,0.68805,0.26977,2.04817,1.74913,0.88449,0.001472,0.001472,0.001472
42,788.996,2.01046,1.76519,0.87508,0.75894,0.61093,0.68368,0.27735,2.08013,1.62552,0.88456,0.0014588,0.0014588,0.0014588
43,807.552,2.01157,1.77926,0.87406,0.79729,0.63311,0.71146,0.27819,2.03603,1.65261,0.88196,0.0014456,0.0014456,0.0014456
44,826.137,1.98107,1.74847,0.86435,0.81502,0.62845,0.70137,0.27671,2.05611,1.63514,0.8829,0.0014324,0.0014324,0.0014324
45,844.672,1.97523,1.7071,0.86571,0.78973,0.62942,0.69886,0.27265,2.08989,1.63083,0.8867,0.0014192,0.0014192,0.0014192
46,863.221,1.9743,1.74483,0.86555,0.81602,0.60198,0.70028,0.28068,2.05106,1.63915,0.88711,0.001406,0.001406,0.001406
47,881.807,1.96982,1.7341,0.86671,0.7879,0.60616,0.66827,0.25181,2.08266,1.73684,0.88825,0.0013928,0.0013928,0.0013928
48,900.405,1.98658,1.74275,0.86756,0.77877,0.63396,0.70452,0.2817,2.04251,1.66547,0.88479,0.0013796,0.0013796,0.0013796
49,919.054,1.96934,1.74254,0.86856,0.80499,0.6108,0.68326,0.26793,2.08156,1.73014,0.89023,0.0013664,0.0013664,0.0013664
50,937.74,1.98042,1.711,0.86844,0.78859,0.6538,0.71298,0.28101,2.08533,1.65228,0.88715,0.0013532,0.0013532,0.0013532
51,956.496,1.94507,1.72037,0.86219,0.78949,0.64498,0.72802,0.29674,2.08769,1.73144,0.88561,0.00134,0.00134,0.00134
52,975.152,1.93748,1.66097,0.86027,0.80885,0.63396,0.70175,0.28604,2.07147,1.75732,0.88239,0.0013268,0.0013268,0.0013268
53,993.72,1.95522,1.68725,0.86594,0.83611,0.6108,0.70076,0.27883,2.07506,1.67104,0.89251,0.0013136,0.0013136,0.0013136
54,1012.28,1.95456,1.68677,0.8648,0.79048,0.59647,0.67204,0.26102,2.11448,1.70721,0.88729,0.0013004,0.0013004,0.0013004
55,1030.84,1.93026,1.68741,0.86836,0.83811,0.64719,0.71319,0.28504,2.00105,1.64621,0.88271,0.0012872,0.0012872,0.0012872
56,1049.44,1.92776,1.68076,0.86301,0.82948,0.62751,0.70625,0.28545,1.98863,1.6487,0.87735,0.001274,0.001274,0.001274
57,1068.03,1.92094,1.66316,0.86326,0.82888,0.6729,0.73531,0.29136,2.0606,1.61171,0.89118,0.0012608,0.0012608,0.0012608
58,1086.59,1.91946,1.63962,0.86186,0.79013,0.62293,0.68758,0.27284,2.09479,1.74781,0.89348,0.0012476,0.0012476,0.0012476
59,1105.18,1.9322,1.64611,0.86212,0.79307,0.6634,0.72115,0.29817,2.02709,1.63883,0.87964,0.0012344,0.0012344,0.0012344
60,1123.82,1.90469,1.62625,0.85652,0.78605,0.64057,0.70556,0.28395,2.06305,1.60737,0.891,0.0012212,0.0012212,0.0012212
61,1142.39,1.91643,1.64266,0.85783,0.82498,0.62514,0.70477,0.28416,2.03783,1.61197,0.88622,0.001208,0.001208,0.001208
62,1160.92,1.92102,1.65589,0.85774,0.8236,0.61632,0.71107,0.29532,2.05273,1.63643,0.88803,0.0011948,0.0011948,0.0011948
63,1179.43,1.90984,1.64287,0.87182,0.79306,0.63803,0.71538,0.28795,2.06074,1.61715,0.89109,0.0011816,0.0011816,0.0011816
64,1197.99,1.88205,1.59642,0.85389,0.79335,0.63068,0.70307,0.27705,2.06935,1.69511,0.89709,0.0011684,0.0011684,0.0011684
65,1216.54,1.89986,1.61812,0.8563,0.82863,0.65821,0.72904,0.29803,2.05636,1.59946,0.88794,0.0011552,0.0011552,0.0011552
66,1235.2,1.89293,1.62681,0.8557,0.82631,0.6242,0.71974,0.29116,2.06323,1.63458,0.89123,0.001142,0.001142,0.001142
67,1253.8,1.877,1.62341,0.85638,0.80943,0.6603,0.73138,0.29956,2.05006,1.58422,0.89252,0.0011288,0.0011288,0.0011288
68,1272.48,1.88697,1.60083,0.85692,0.82675,0.6261,0.71606,0.29712,2.05392,1.6031,0.88625,0.0011156,0.0011156,0.0011156
69,1291.05,1.88894,1.58313,0.85059,0.83793,0.64719,0.74163,0.30198,2.0636,1.57323,0.88605,0.0011024,0.0011024,0.0011024
70,1309.7,1.8743,1.58279,0.85541,0.80709,0.63837,0.71653,0.29216,2.04936,1.59543,0.88823,0.0010892,0.0010892,0.0010892
71,1328.28,1.88024,1.56907,0.85979,0.82346,0.65313,0.72638,0.29436,2.05235,1.59055,0.88945,0.001076,0.001076,0.001076
72,1346.86,1.85983,1.57954,0.84962,0.80281,0.66593,0.73253,0.29886,2.04607,1.56104,0.89167,0.0010628,0.0010628,0.0010628
73,1365.4,1.85058,1.55922,0.8517,0.80583,0.65932,0.732,0.29972,2.00651,1.61087,0.88096,0.0010496,0.0010496,0.0010496
74,1383.97,1.82298,1.54197,0.85014,0.79381,0.64939,0.72492,0.29286,2.03916,1.63488,0.89001,0.0010364,0.0010364,0.0010364
75,1402.5,1.84202,1.56909,0.84721,0.80217,0.65711,0.73099,0.301,2.04153,1.57024,0.88521,0.0010232,0.0010232,0.0010232
76,1421.05,1.85641,1.54195,0.85397,0.82009,0.63727,0.71812,0.30152,2.04502,1.59694,0.88929,0.00101,0.00101,0.00101
77,1439.58,1.83813,1.55425,0.8529,0.8149,0.65528,0.73883,0.29393,2.09063,1.6022,0.89304,0.0009968,0.0009968,0.0009968
78,1458.15,1.82431,1.53321,0.8483,0.81569,0.62945,0.72387,0.30291,2.05282,1.59911,0.90146,0.0009836,0.0009836,0.0009836
79,1476.71,1.85073,1.5444,0.85055,0.83077,0.63947,0.7203,0.29581,2.05038,1.61853,0.89392,0.0009704,0.0009704,0.0009704
80,1495.25,1.80008,1.5144,0.8448,0.79008,0.66703,0.7426,0.29786,2.07758,1.66014,0.88763,0.0009572,0.0009572,0.0009572
81,1513.8,1.81107,1.49985,0.84767,0.82425,0.62514,0.72538,0.29901,2.04754,1.59109,0.88806,0.000944,0.000944,0.000944
82,1532.33,1.81482,1.54163,0.85238,0.81701,0.65821,0.73238,0.29162,2.09861,1.62854,0.89484,0.0009308,0.0009308,0.0009308
83,1550.87,1.80888,1.50344,0.8439,0.84057,0.65932,0.74514,0.30599,2.05319,1.62231,0.88975,0.0009176,0.0009176,0.0009176
84,1569.52,1.79543,1.51852,0.84824,0.82679,0.68415,0.74521,0.30529,2.03733,1.58986,0.88863,0.0009044,0.0009044,0.0009044
85,1588.09,1.80112,1.49082,0.84103,0.83387,0.64746,0.74218,0.30478,2.07002,1.68618,0.90305,0.0008912,0.0008912,0.0008912
86,1606.64,1.77647,1.46399,0.84513,0.82622,0.67365,0.74738,0.31178,2.03649,1.7109,0.89232,0.000878,0.000878,0.000878
87,1625.25,1.76601,1.4797,0.84361,0.81439,0.64939,0.72753,0.30044,2.02575,1.61283,0.88597,0.0008648,0.0008648,0.0008648
88,1643.79,1.80354,1.48345,0.84059,0.82008,0.66839,0.7472,0.30427,2.03526,1.57775,0.88218,0.0008516,0.0008516,0.0008516
89,1662.27,1.77845,1.4821,0.83867,0.81974,0.67255,0.74069,0.3075,2.05022,1.61457,0.88669,0.0008384,0.0008384,0.0008384
90,1680.8,1.75599,1.44302,0.8399,0.79776,0.66814,0.72825,0.30333,2.04071,1.59695,0.88024,0.0008252,0.0008252,0.0008252
91,1699.28,1.76756,1.45391,0.83976,0.80762,0.67111,0.73968,0.30695,2.03697,1.65817,0.88795,0.000812,0.000812,0.000812
92,1717.8,1.76025,1.4459,0.84013,0.82529,0.67475,0.74897,0.3091,1.98194,1.60647,0.88245,0.0007988,0.0007988,0.0007988
93,1736.38,1.76274,1.44019,0.84217,0.81193,0.68026,0.7495,0.31272,2.00406,1.6199,0.88792,0.0007856,0.0007856,0.0007856
94,1754.99,1.75969,1.42106,0.83803,0.83796,0.67034,0.74322,0.31176,2.01562,1.60323,0.88619,0.0007724,0.0007724,0.0007724
95,1773.52,1.74791,1.43889,0.83698,0.83088,0.66628,0.75325,0.31733,2.01453,1.62295,0.88892,0.0007592,0.0007592,0.0007592
96,1792.08,1.7398,1.42121,0.83747,0.83524,0.66373,0.74533,0.30622,2.05161,1.62431,0.88508,0.000746,0.000746,0.000746
97,1810.56,1.74778,1.40062,0.83988,0.83849,0.64168,0.73523,0.30531,2.06053,1.71194,0.89657,0.0007328,0.0007328,0.0007328
98,1829.18,1.75729,1.40724,0.83482,0.84267,0.65491,0.73694,0.31482,2.02631,1.62885,0.88985,0.0007196,0.0007196,0.0007196
99,1848.53,1.70663,1.40383,0.83075,0.83287,0.64278,0.74303,0.3093,2.00498,1.56672,0.8858,0.0007064,0.0007064,0.0007064
100,1868.12,1.74208,1.41891,0.84101,0.83099,0.67761,0.76052,0.31166,2.03475,1.55462,0.88871,0.0006932,0.0006932,0.0006932
101,1887.79,1.70525,1.38894,0.83398,0.84319,0.67144,0.76184,0.31411,2.01547,1.54712,0.88725,0.00068,0.00068,0.00068
102,1907.38,1.71173,1.37973,0.83464,0.8192,0.6794,0.75885,0.31852,2.03677,1.55048,0.8954,0.0006668,0.0006668,0.0006668
103,1926.02,1.71593,1.39944,0.83626,0.82977,0.65567,0.74922,0.30911,2.05063,1.56694,0.89251,0.0006536,0.0006536,0.0006536
104,1944.53,1.71412,1.38637,0.84072,0.81258,0.6527,0.73923,0.31181,2.02298,1.58374,0.88744,0.0006404,0.0006404,0.0006404
105,1962.96,1.69716,1.39297,0.83274,0.83948,0.6538,0.74733,0.31096,2.00497,1.54768,0.88878,0.0006272,0.0006272,0.0006272
106,1981.45,1.70131,1.36852,0.83353,0.80851,0.67034,0.74113,0.31008,2.02196,1.57533,0.89184,0.000614,0.000614,0.000614
