epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.998,3.84024,261.288,1.40795,0.4255,0.26461,0.22387,0.06656,2.81168,7.55822,0.99511,0.0703529,0.00329412,0.00329412
2,38.7977,2.83688,8.46743,0.98973,0.45684,0.41566,0.33723,0.10302,2.64123,9.81187,0.96752,0.0403092,0.00658371,0.00658371
3,57.2315,2.92329,8.28069,0.98433,0.31766,0.31863,0.22152,0.055,2.96231,7.72689,0.99869,0.0102215,0.0098293,0.0098293
4,75.9238,2.87333,7.47808,0.98986,0.54146,0.38368,0.37276,0.1157,2.69806,6.12756,0.97336,0.009802,0.009802,0.009802
5,94.4053,2.7485,7.0549,0.97074,0.47676,0.3727,0.32756,0.08594,2.85395,6.95628,0.97159,0.009736,0.009736,0.009736
6,112.869,2.67515,6.65774,0.9608,0.33283,0.35832,0.20341,0.06178,2.6472,9.00318,0.97387,0.00967,0.00967,0.00967
7,131.314,2.61745,6.3424,0.94776,0.6374,0.4355,0.45893,0.14362,2.4732,5.89345,0.92787,0.009604,0.009604,0.009604
8,149.851,2.56357,6.19249,0.94087,0.5392,0.49063,0.45721,0.14552,2.3901,5.44423,0.91184,0.009538,0.009538,0.009538
9,168.508,2.51124,5.99519,0.93826,0.64506,0.50386,0.51881,0.17063,2.35163,5.32272,0.9302,0.009472,0.009472,0.009472
10,187.857,2.4503,5.8713,0.92502,0.64194,0.5001,0.50006,0.14964,2.44359,6.04255,0.93578,0.009406,0.009406,0.009406
11,207.447,2.46635,5.79788,0.9319,0.5936,0.50827,0.48771,0.14929,2.42369,5.66896,0.92103,0.00934,0.00934,0.00934
12,226.39,2.43713,5.76628,0.92657,0.60868,0.5042,0.50259,0.15384,2.39118,5.59329,0.91571,0.009274,0.009274,0.009274
13,244.865,2.38186,5.48937,0.92284,0.64457,0.49945,0.52263,0.16935,2.40181,5.93579,0.92045,0.009208,0.009208,0.009208
14,263.363,2.38104,5.54648,0.92197,0.70949,0.5634,0.60974,0.21619,2.29538,4.72477,0.90893,0.009142,0.009142,0.009142
15,281.902,2.35976,5.39763,0.91923,0.72652,0.55347,0.62638,0.22015,2.33012,4.72872,0.9181,0.009076,0.009076,0.009076
