epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2091,4.20595,27.2216,1.68522,0.35662,0.26446,0.18178,0.0459,3.94259,2.44034,1.38485,0.000659341,0.000659341,0.000659341
2,70.5828,3.3234,2.00354,1.30994,0.46292,0.37052,0.32981,0.09594,3.12435,1.81272,1.23522,0.00131726,0.00131726,0.00131726
3,92.6863,3.21788,1.82931,1.2813,0.466,0.44353,0.37517,0.11389,3.00344,1.74106,1.25342,0.00196637,0.00196637,0.00196637
4,114.635,3.10707,1.75599,1.27769,0.50729,0.44766,0.39375,0.11707,2.90191,1.51291,1.24654,0.0019604,0.0019604,0.0019604
5,136.624,3.09782,1.71066,1.26385,0.60863,0.43697,0.45525,0.1441,2.81572,1.41542,1.21351,0.0019472,0.0019472,0.0019472
6,158.621,2.95148,1.60162,1.24634,0.53742,0.45447,0.40501,0.11485,2.98902,1.45871,1.23676,0.001934,0.001934,0.001934
7,180.595,2.91472,1.59615,1.24037,0.63524,0.51928,0.54286,0.17732,2.80589,1.42809,1.24279,0.0019208,0.0019208,0.0019208
8,202.562,2.89707,1.58932,1.23599,0.64433,0.51102,0.52092,0.16804,2.78782,1.35423,1.22836,0.0019076,0.0019076,0.0019076
9,224.547,2.83129,1.49691,1.22541,0.69486,0.49587,0.53848,0.18058,2.803,1.33154,1.23411,0.0018944,0.0018944,0.0018944
10,246.56,2.85889,1.535,1.23243,0.63581,0.5,0.51059,0.16712,2.77108,1.31769,1.21812,0.0018812,0.0018812,0.0018812
11,268.635,2.80842,1.4911,1.21918,0.5756,0.49862,0.50472,0.17528,2.67282,1.28025,1.20761,0.001868,0.001868,0.001868
12,290.496,2.761,1.46774,1.21608,0.70055,0.50551,0.55652,0.18673,2.73987,1.23669,1.20978,0.0018548,0.0018548,0.0018548
13,312.58,2.77293,1.44814,1.21377,0.72453,0.51444,0.56292,0.19195,2.66965,1.25939,1.1992,0.0018416,0.0018416,0.0018416
14,334.561,2.74929,1.43628,1.21983,0.72741,0.50826,0.55583,0.20145,2.60625,1.24318,1.20339,0.0018284,0.0018284,0.0018284
