epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5984,3.75364,30.459,1.3341,0.0027,0.36777,0.00187,0.00055,3.32839,6.63753,1.01672,0.000652174,0.000652174,0.000652174
2,74.8894,2.89377,6.44933,0.99731,0.00305,0.44353,0.02803,0.00647,3.43994,5.02589,1.02243,0.00131014,0.00131014,0.00131014
3,104.991,2.72086,4.64463,0.97563,0.49947,0.36364,0.31737,0.08954,2.6989,2.9474,0.9805,0.0019593,0.0019593,0.0019593
4,134.822,2.72868,3.76442,0.97155,0.4057,0.31129,0.23038,0.05724,2.90827,2.8979,0.95598,0.0019604,0.0019604,0.0019604
5,165.324,2.64658,3.14893,0.96511,0.48411,0.36915,0.31675,0.08249,2.71987,2.60984,0.98958,0.0019472,0.0019472,0.0019472
6,195.795,2.59989,2.86133,0.95868,0.5336,0.40083,0.38034,0.11528,2.59281,3.07973,0.95217,0.001934,0.001934,0.001934
7,226.198,2.55367,2.72284,0.95482,0.57188,0.42134,0.42869,0.14288,2.51389,2.41282,0.94205,0.0019208,0.0019208,0.0019208
8,256.427,2.53877,2.60831,0.9424,0.57436,0.43388,0.4209,0.12802,2.45388,2.28864,0.93365,0.0019076,0.0019076,0.0019076
9,286.559,2.47494,2.54185,0.93018,0.51044,0.37328,0.3547,0.09612,2.76498,2.47635,0.93366,0.0018944,0.0018944,0.0018944
10,316.6,2.46279,2.53606,0.93397,0.58229,0.48485,0.46974,0.1545,2.36905,2.32562,0.93543,0.0018812,0.0018812,0.0018812
11,347.018,2.4409,2.4456,0.93764,0.59247,0.48072,0.48232,0.14487,2.51724,2.24716,0.9364,0.001868,0.001868,0.001868
12,377.431,2.40486,2.3557,0.93559,0.6204,0.48623,0.50041,0.1752,2.30388,2.11353,0.91204,0.0018548,0.0018548,0.0018548
13,407.656,2.37793,2.35043,0.91339,0.6033,0.48599,0.49518,0.15022,2.35422,2.18169,0.91418,0.0018416,0.0018416,0.0018416
14,438.292,2.38835,2.31579,0.92193,0.62615,0.48676,0.47949,0.15387,2.31178,2.15699,0.91729,0.0018284,0.0018284,0.0018284
15,469.026,2.42886,2.40172,0.92458,0.63069,0.47383,0.50834,0.17019,2.27301,2.09282,0.92021,0.0018152,0.0018152,0.0018152
16,499.663,2.39295,2.33272,0.92568,0.55019,0.47796,0.44008,0.1495,2.37019,2.31095,0.92608,0.001802,0.001802,0.001802
17,529.828,2.38711,2.32732,0.91568,0.64442,0.47658,0.49742,0.15405,2.4257,2.08118,0.90953,0.0017888,0.0017888,0.0017888
18,560.184,2.29282,2.20673,0.91531,0.6553,0.49174,0.52322,0.17239,2.25421,2.07643,0.91661,0.0017756,0.0017756,0.0017756
19,590.329,2.30698,2.22536,0.91534,0.65121,0.50413,0.53448,0.17702,2.27235,2.05016,0.91974,0.0017624,0.0017624,0.0017624
20,620.442,2.31028,2.22126,0.91726,0.67893,0.49862,0.53325,0.16209,2.33964,2.13877,0.90824,0.0017492,0.0017492,0.0017492
21,650.772,2.28734,2.18701,0.91053,0.72041,0.51818,0.56733,0.18834,2.26506,1.96538,0.90801,0.001736,0.001736,0.001736
22,681.335,2.24888,2.15189,0.91059,0.63264,0.51377,0.5292,0.18261,2.25832,1.98319,0.91651,0.0017228,0.0017228,0.0017228
23,711.659,2.31404,2.17702,0.91891,0.65699,0.51377,0.54426,0.17723,2.41352,2.13877,0.93571,0.0017096,0.0017096,0.0017096
24,741.885,2.28593,2.13605,0.91768,0.68786,0.53422,0.58033,0.19486,2.2151,1.93108,0.90441,0.0016964,0.0016964,0.0016964
25,772.225,2.22182,2.06789,0.9042,0.69027,0.54408,0.58058,0.20388,2.21818,1.93416,0.90337,0.0016832,0.0016832,0.0016832
26,802.408,2.26524,2.19904,0.91083,0.72771,0.53719,0.59351,0.20226,2.17944,1.91222,0.90291,0.00167,0.00167,0.00167
27,832.612,2.26558,2.13341,0.9158,0.72961,0.53994,0.59937,0.21243,2.17731,1.83047,0.90352,0.0016568,0.0016568,0.0016568
28,862.981,2.23213,2.05541,0.91069,0.72863,0.51377,0.56356,0.20104,2.19781,2.00079,0.90639,0.0016436,0.0016436,0.0016436
29,893.373,2.24919,2.09004,0.91145,0.65018,0.50413,0.5461,0.18883,2.20009,2.01868,0.90932,0.0016304,0.0016304,0.0016304
30,923.74,2.23675,2.01969,0.90387,0.68339,0.51515,0.56897,0.20025,2.14815,1.94019,0.90532,0.0016172,0.0016172,0.0016172
31,954.246,2.23644,2.05559,0.90391,0.71811,0.56198,0.61202,0.20957,2.2494,1.86405,0.9072,0.001604,0.001604,0.001604
32,984.925,2.20489,2.0193,0.90694,0.72376,0.53444,0.58302,0.20708,2.1837,1.89581,0.89917,0.0015908,0.0015908,0.0015908
33,1015.63,2.20493,2.08148,0.89624,0.68277,0.5692,0.6033,0.21519,2.17953,1.87211,0.90329,0.0015776,0.0015776,0.0015776
34,1045.95,2.15809,2.04551,0.894,0.70063,0.55096,0.60801,0.2179,2.15017,1.88747,0.8944,0.0015644,0.0015644,0.0015644
35,1076.92,2.19229,2.0229,0.9019,0.75376,0.54392,0.59442,0.21095,2.13942,1.90221,0.90445,0.0015512,0.0015512,0.0015512
36,1107.25,2.20334,2.0183,0.90044,0.69659,0.56336,0.60814,0.21095,2.16363,1.83755,0.90136,0.001538,0.001538,0.001538
37,1137.69,2.15363,1.98928,0.89607,0.76049,0.52479,0.61652,0.22798,2.07657,1.8083,0.89986,0.0015248,0.0015248,0.0015248
