epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2158,3.69999,156.739,1.35592,0.00924,0.20248,0.00573,0.00166,4.01267,118.243,1.1979,0.000652174,0.000652174,0.000652174
2,51.2077,2.89223,3.33212,1.00266,0.14365,0.10193,0.04268,0.00977,3.95489,5.88584,1.05705,0.00131014,0.00131014,0.00131014
3,69.2271,2.69397,2.89331,0.97104,0.47878,0.38981,0.32159,0.088,2.65974,5.38775,0.98751,0.0019593,0.0019593,0.0019593
4,86.9825,2.69427,2.8097,0.97399,0.47878,0.38981,0.32159,0.088,nan,nan,nan,0.0019604,0.0019604,0.0019604
5,104.818,2.66624,2.69655,0.96975,0.28619,0.28099,0.15575,0.0401,2.68667,3.58146,0.95486,0.0019472,0.0019472,0.0019472
6,122.819,2.57787,2.55964,0.95459,0.55338,0.44628,0.4172,0.12629,2.38191,2.73257,0.92629,0.001934,0.001934,0.001934
7,140.602,2.50093,2.4367,0.9493,0.46638,0.45179,0.35945,0.10246,2.5264,2.47975,0.91896,0.0019208,0.0019208,0.0019208
8,158.87,2.47252,2.41586,0.93452,0.55755,0.4808,0.45706,0.15066,2.29601,2.21399,0.91045,0.0019076,0.0019076,0.0019076
9,176.792,2.43007,2.35279,0.93152,0.55024,0.38567,0.39221,0.11922,2.47833,2.38294,0.93172,0.0018944,0.0018944,0.0018944
10,194.523,2.36574,2.31123,0.92045,0.61478,0.48209,0.48058,0.14421,2.38156,2.26463,0.93145,0.0018812,0.0018812,0.0018812
11,212.403,2.40238,2.25507,0.9314,0.6335,0.50964,0.50799,0.16743,2.29865,2.02201,0.91459,0.001868,0.001868,0.001868
12,230.342,2.35153,2.23356,0.92902,0.57788,0.47383,0.4582,0.15282,2.41154,2.12842,0.91657,0.0018548,0.0018548,0.0018548
13,248.26,2.34043,2.1944,0.91365,0.56402,0.46694,0.477,0.15027,2.33083,2.31375,0.9182,0.0018416,0.0018416,0.0018416
14,265.905,2.32672,2.19651,0.9178,0.67385,0.49449,0.54201,0.18528,2.25168,2.01169,0.91594,0.0018284,0.0018284,0.0018284
15,283.807,2.35708,2.24658,0.91827,0.67619,0.52342,0.56252,0.20366,2.19826,1.97017,0.90565,0.0018152,0.0018152,0.0018152
16,301.906,2.3137,2.22321,0.91957,0.66222,0.50826,0.52888,0.19138,2.20064,2.11178,0.91254,0.001802,0.001802,0.001802
17,319.741,2.28413,2.17273,0.91089,0.66648,0.52755,0.56196,0.1988,2.158,1.87887,0.90683,0.0017888,0.0017888,0.0017888
18,337.384,2.24651,2.11038,0.90786,0.72653,0.52479,0.56865,0.20833,2.18333,1.83081,0.90702,0.0017756,0.0017756,0.0017756
19,355.147,2.21225,2.05053,0.90832,0.69103,0.4929,0.55617,0.19618,2.14826,1.92479,0.90019,0.0017624,0.0017624,0.0017624
20,372.851,2.21809,2.02881,0.90871,0.7238,0.52617,0.59355,0.19855,2.18432,1.95397,0.89907,0.0017492,0.0017492,0.0017492
