epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3424,3.74107,28.9833,1.33616,0.004,0.32645,0.00765,0.00342,3.1205,6.45337,1.05302,0.000652174,0.000652174,0.000652174
2,63.2858,2.89545,6.1436,0.997,0.43309,0.26584,0.23164,0.06199,2.73582,3.41495,0.96878,0.00131014,0.00131014,0.00131014
3,92.3023,2.68635,4.36962,0.96628,0.45569,0.38017,0.3226,0.08861,2.58544,2.79025,0.95063,0.0019593,0.0019593,0.0019593
4,121.622,2.65761,3.58195,0.96033,0.35452,0.37603,0.26266,0.07454,2.61293,2.78545,0.95687,0.0019604,0.0019604,0.0019604
5,150.673,2.65473,3.11887,0.96425,0.5115,0.39945,0.38205,0.11131,2.56494,2.43658,0.94132,0.0019472,0.0019472,0.0019472
6,180.212,2.56952,2.83196,0.94957,0.54675,0.40634,0.4046,0.13557,2.45252,2.50676,0.94105,0.001934,0.001934,0.001934
7,208.98,2.4722,2.66108,0.94846,0.68539,0.4021,0.46596,0.16192,2.29103,2.31763,0.91702,0.0019208,0.0019208,0.0019208
8,238.002,2.46224,2.5341,0.93359,0.48645,0.4022,0.35986,0.10807,2.57423,2.42542,0.94551,0.0019076,0.0019076,0.0019076
9,267.231,2.48368,2.49353,0.92963,0.51879,0.40095,0.36916,0.10947,2.54405,2.49653,0.91781,0.0018944,0.0018944,0.0018944
10,296.412,2.44956,2.50636,0.93168,0.62867,0.45868,0.47755,0.15877,2.34227,2.36864,0.92083,0.0018812,0.0018812,0.0018812
11,325.72,2.42898,2.45046,0.93453,0.61696,0.46694,0.4799,0.16487,2.36051,2.21542,0.91965,0.001868,0.001868,0.001868
12,354.929,2.3792,2.34447,0.93643,0.58922,0.42424,0.42796,0.1372,2.40033,2.32511,0.912,0.0018548,0.0018548,0.0018548
13,383.993,2.359,2.3076,0.91113,0.69348,0.49174,0.54942,0.2014,2.19522,2.00901,0.90904,0.0018416,0.0018416,0.0018416
14,413.133,2.35785,2.28474,0.91685,0.66981,0.46006,0.49786,0.15892,2.30335,2.19258,0.91528,0.0018284,0.0018284,0.0018284
15,442.645,2.3779,2.34766,0.9238,0.64405,0.47521,0.48772,0.15425,2.38162,2.2119,0.92545,0.0018152,0.0018152,0.0018152
16,471.731,2.31918,2.29795,0.91696,0.60356,0.49725,0.48175,0.15857,2.34503,2.18711,0.90309,0.001802,0.001802,0.001802
17,500.712,2.30118,2.24642,0.90818,0.63867,0.49587,0.50586,0.16731,2.29853,2.09164,0.9155,0.0017888,0.0017888,0.0017888
18,529.76,2.31371,2.23011,0.92013,0.69724,0.48898,0.54209,0.18401,2.28003,2.10456,0.91555,0.0017756,0.0017756,0.0017756
19,559.055,2.31146,2.25292,0.91821,0.67606,0.49732,0.55297,0.18302,2.25991,2.13349,0.90676,0.0017624,0.0017624,0.0017624
20,587.986,2.26392,2.14656,0.91196,0.60563,0.51377,0.50475,0.15355,2.39347,2.17108,0.91037,0.0017492,0.0017492,0.0017492
21,616.978,2.27253,2.10442,0.91336,0.70393,0.4876,0.5226,0.18271,2.20749,2.0582,0.90129,0.001736,0.001736,0.001736
22,646.15,2.22487,2.1286,0.91383,0.71153,0.49449,0.55329,0.19096,2.22008,1.99348,0.90551,0.0017228,0.0017228,0.0017228
23,675.4,2.30548,2.16768,0.91896,0.6871,0.52204,0.55371,0.1861,2.26163,2.01437,0.92204,0.0017096,0.0017096,0.0017096
24,704.996,2.28992,2.119,0.9184,0.7303,0.51515,0.57961,0.20181,2.20493,1.9433,0.90243,0.0016964,0.0016964,0.0016964
25,734.497,2.24941,2.0969,0.9065,0.70062,0.47934,0.51671,0.1753,2.34507,2.10162,0.91005,0.0016832,0.0016832,0.0016832
26,764.187,2.25603,2.2044,0.90696,0.69211,0.51399,0.55381,0.18938,2.24499,2.05463,0.91416,0.00167,0.00167,0.00167
27,793.41,2.22341,2.09613,0.9108,0.71761,0.52893,0.58452,0.20315,2.21102,1.88768,0.90613,0.0016568,0.0016568,0.0016568
28,822.595,2.21837,2.06248,0.91073,0.70153,0.49857,0.55049,0.1904,2.21611,1.96278,0.89306,0.0016436,0.0016436,0.0016436
29,851.818,2.24342,2.10139,0.90547,0.68558,0.52859,0.57721,0.19295,2.18305,1.92626,0.90532,0.0016304,0.0016304,0.0016304
30,880.987,2.25011,2.05115,0.90451,0.66711,0.49134,0.53818,0.1837,2.27953,2.03322,0.89691,0.0016172,0.0016172,0.0016172
31,910.338,2.19561,2.00869,0.8965,0.71681,0.56061,0.59908,0.21264,2.16978,1.89574,0.90114,0.001604,0.001604,0.001604
32,939.701,2.19442,2.00382,0.9044,0.74895,0.52186,0.60077,0.22566,2.1423,1.90202,0.89794,0.0015908,0.0015908,0.0015908
33,969.218,2.17186,2.00651,0.89709,0.66891,0.52204,0.576,0.20491,2.20979,1.86812,0.91128,0.0015776,0.0015776,0.0015776
34,999.064,2.14968,1.9751,0.89211,0.66635,0.48072,0.5129,0.1651,2.30127,2.01053,0.90304,0.0015644,0.0015644,0.0015644
