epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6007,3.90549,156.998,1.41416,0.00713,0.11433,0.00233,0.00066,4.183,422.721,1.20305,0.000652174,0.000652174,0.000652174
2,43.1989,2.84311,3.13791,0.99356,0.22493,0.19697,0.09996,0.02537,3.55398,3.69002,1.034,0.00131014,0.00131014,0.00131014
3,63.8036,2.66255,2.81741,0.96443,0.06984,0.02204,0.00524,0.00106,5.06062,5.08867,1.05859,0.0019593,0.0019593,0.0019593
4,84.1363,2.65249,2.74245,0.96001,0.48836,0.37075,0.32597,0.0885,2.72758,2.80567,0.92883,0.0019604,0.0019604,0.0019604
5,104.657,2.64857,2.58315,0.96357,0.46964,0.38981,0.31819,0.08847,2.6772,2.64875,0.95148,0.0019472,0.0019472,0.0019472
6,125.53,2.52304,2.52312,0.9486,0.56206,0.40306,0.40868,0.11545,2.54472,2.48377,0.9321,0.001934,0.001934,0.001934
7,145.782,2.48213,2.41124,0.94591,0.51091,0.43388,0.41216,0.12908,2.50787,2.302,0.93165,0.0019208,0.0019208,0.0019208
8,166.24,2.4848,2.40702,0.93271,0.61823,0.48072,0.47344,0.15207,2.35232,2.15342,0.9268,0.0019076,0.0019076,0.0019076
9,186.759,2.4135,2.34188,0.92529,0.55403,0.46143,0.42007,0.12879,2.44817,2.25947,0.91417,0.0018944,0.0018944,0.0018944
10,207.394,2.39652,2.31511,0.92493,0.65092,0.53306,0.53865,0.17499,2.30973,2.00262,0.91843,0.0018812,0.0018812,0.0018812
11,228.391,2.34143,2.28031,0.92342,0.64004,0.49862,0.5115,0.17859,2.30208,2.12364,0.92071,0.001868,0.001868,0.001868
12,249.162,2.31472,2.2251,0.92428,0.68241,0.5124,0.53807,0.17759,2.27862,1.98156,0.89791,0.0018548,0.0018548,0.0018548
13,269.714,2.32905,2.22096,0.91193,0.67377,0.52913,0.5624,0.206,2.19202,1.8787,0.91254,0.0018416,0.0018416,0.0018416
14,290.062,2.28816,2.12878,0.90981,0.63647,0.50689,0.50255,0.16356,2.29996,2.00625,0.93239,0.0018284,0.0018284,0.0018284
15,310.241,2.31693,2.16952,0.91255,0.52533,0.45427,0.43106,0.14365,2.40429,2.42382,0.9301,0.0018152,0.0018152,0.0018152
16,330.476,2.28483,2.14353,0.9105,0.61074,0.50139,0.47563,0.1628,2.27598,2.22327,0.9363,0.001802,0.001802,0.001802
17,350.575,2.25554,2.12443,0.90536,0.67502,0.53857,0.57174,0.19038,2.23385,1.89239,0.91635,0.0017888,0.0017888,0.0017888
18,370.657,2.25064,2.07312,0.90604,0.69147,0.5464,0.58701,0.22086,2.11745,1.91713,0.89583,0.0017756,0.0017756,0.0017756
19,391.361,2.24951,2.08107,0.90862,0.66258,0.53444,0.56189,0.20128,2.18412,1.87908,0.91124,0.0017624,0.0017624,0.0017624
20,411.579,2.22205,2.05107,0.91073,0.71201,0.54145,0.59749,0.21725,2.12802,1.88414,0.89015,0.0017492,0.0017492,0.0017492
21,432.052,2.21558,2.02417,0.9012,0.70581,0.49569,0.56284,0.19578,2.24673,1.92715,0.90471,0.001736,0.001736,0.001736
22,452.465,2.18341,2.04602,0.9072,0.70792,0.5551,0.59645,0.22494,2.10342,1.80318,0.89507,0.0017228,0.0017228,0.0017228
23,472.489,2.21272,1.99514,0.90662,0.69547,0.54421,0.60161,0.22412,2.1447,1.89915,0.89655,0.0017096,0.0017096,0.0017096
24,492.919,2.19092,1.99407,0.9044,0.67615,0.52755,0.57597,0.2092,2.14312,1.94489,0.89473,0.0016964,0.0016964,0.0016964
25,513.442,2.14609,1.9939,0.89398,0.75114,0.51968,0.59927,0.22334,2.10153,1.89982,0.89747,0.0016832,0.0016832,0.0016832
26,534.242,2.17138,2.02749,0.89783,0.7269,0.57713,0.62887,0.23139,2.06848,1.78557,0.88904,0.00167,0.00167,0.00167
27,555.109,2.15605,1.9899,0.89942,0.70262,0.52755,0.57744,0.2265,2.08351,1.86114,0.90233,0.0016568,0.0016568,0.0016568
28,575.703,2.1627,1.97539,0.90277,0.68265,0.55407,0.58159,0.21543,2.05462,1.77523,0.89138,0.0016436,0.0016436,0.0016436
