epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6142,3.44997,39.0888,1.22831,0.37929,0.33196,0.23428,0.05988,2.90212,2.89841,0.98827,0.000659341,0.000659341,0.000659341
2,32.1993,2.75587,3.04188,0.98078,0.56724,0.39394,0.39145,0.12345,2.4639,2.48593,0.95555,0.00131726,0.00131726,0.00131726
3,47.0303,2.66393,2.83839,0.96438,0.41755,0.35537,0.29785,0.09209,2.74617,2.51859,0.96025,0.00196637,0.00196637,0.00196637
4,61.6104,2.63052,2.75447,0.95696,0.50248,0.44628,0.38935,0.12697,2.41897,2.29695,0.9296,0.0019604,0.0019604,0.0019604
5,76.2487,2.56044,2.66766,0.94711,0.56876,0.45179,0.45698,0.14702,2.45123,2.36153,0.93827,0.0019472,0.0019472,0.0019472
6,90.8503,2.47978,2.49099,0.9374,0.6604,0.47107,0.49594,0.15446,2.4375,2.0927,0.92671,0.001934,0.001934,0.001934
7,105.764,2.46971,2.50257,0.93385,0.67234,0.48897,0.52882,0.17973,2.20991,2.10195,0.90847,0.0019208,0.0019208,0.0019208
8,120.554,2.41766,2.41388,0.92861,0.68806,0.56198,0.56923,0.19471,2.28504,1.92066,0.90461,0.0019076,0.0019076,0.0019076
9,135.503,2.3584,2.30578,0.92109,0.64527,0.5,0.49586,0.16536,2.39543,2.10533,0.93103,0.0018944,0.0018944,0.0018944
10,150.025,2.36491,2.30937,0.92637,0.73602,0.54132,0.59655,0.20496,2.16507,1.88899,0.90157,0.0018812,0.0018812,0.0018812
11,164.617,2.32602,2.28433,0.91399,0.70267,0.50551,0.54452,0.19716,2.2422,1.97292,0.92853,0.001868,0.001868,0.001868
12,179.287,2.2791,2.24214,0.91092,0.70403,0.52893,0.56954,0.19745,2.16559,1.89224,0.89349,0.0018548,0.0018548,0.0018548
13,193.841,2.28593,2.24051,0.91255,0.67748,0.5124,0.55137,0.19323,2.19875,2.04756,0.90751,0.0018416,0.0018416,0.0018416
14,209.218,2.30447,2.19244,0.91517,0.67312,0.51377,0.54501,0.19106,2.22264,1.90967,0.91074,0.0018284,0.0018284,0.0018284
15,223.762,2.28215,2.16171,0.90792,0.78087,0.52617,0.60506,0.2225,2.14744,1.84969,0.90264,0.0018152,0.0018152,0.0018152
16,238.656,2.22482,2.10728,0.90225,0.65704,0.53042,0.5326,0.19509,2.14493,1.86829,0.90335,0.001802,0.001802,0.001802
17,253.49,2.25098,2.14816,0.90684,0.76239,0.55372,0.62428,0.2376,2.12253,1.82285,0.89962,0.0017888,0.0017888,0.0017888
18,268.093,2.21286,2.04072,0.90757,0.76176,0.54171,0.59967,0.21155,2.12096,1.80088,0.90007,0.0017756,0.0017756,0.0017756
19,282.832,2.22459,2.05352,0.90407,0.76618,0.57322,0.62933,0.22955,2.10207,1.71119,0.89652,0.0017624,0.0017624,0.0017624
20,297.388,2.19049,2.00773,0.89631,0.72696,0.52066,0.59735,0.22208,2.13093,1.94016,0.90422,0.0017492,0.0017492,0.0017492
21,312.259,2.20267,2.04296,0.89546,0.74967,0.54861,0.6147,0.23582,2.10047,1.73593,0.89705,0.001736,0.001736,0.001736
22,327.938,2.17107,1.98615,0.89356,0.75831,0.54884,0.62732,0.23779,2.07554,1.79126,0.89204,0.0017228,0.0017228,0.0017228
23,342.573,2.17977,2.02226,0.89926,0.73762,0.58678,0.62405,0.2316,2.09307,1.77264,0.90246,0.0017096,0.0017096,0.0017096
24,357.215,2.16628,1.97093,0.89984,0.74842,0.56957,0.62699,0.23791,2.07603,1.71902,0.89643,0.0016964,0.0016964,0.0016964
25,371.862,2.153,1.97183,0.89312,0.75208,0.58264,0.64998,0.24044,2.04404,1.72621,0.87959,0.0016832,0.0016832,0.0016832
26,386.452,2.14009,1.96991,0.89762,0.71256,0.59073,0.62339,0.23471,2.09459,1.75525,0.89446,0.00167,0.00167,0.00167
27,401.051,2.11867,1.93588,0.89164,0.749,0.58815,0.65308,0.24354,2.10877,1.72131,0.89877,0.0016568,0.0016568,0.0016568
28,415.643,2.12803,1.92712,0.89163,0.77088,0.58394,0.64988,0.24446,2.09281,1.7114,0.88192,0.0016436,0.0016436,0.0016436
29,430.335,2.11666,1.91774,0.88821,0.76818,0.61019,0.6782,0.26721,2.02674,1.67118,0.89073,0.0016304,0.0016304,0.0016304
30,444.938,2.09991,1.91417,0.88731,0.78958,0.58678,0.65564,0.25354,2.07378,1.67466,0.89619,0.0016172,0.0016172,0.0016172
31,459.533,2.10028,1.90476,0.88057,0.80121,0.60744,0.68615,0.27062,2.00294,1.59378,0.88545,0.001604,0.001604,0.001604
32,474.175,2.08024,1.87651,0.88112,0.75133,0.6157,0.67082,0.26605,2.00594,1.71361,0.88485,0.0015908,0.0015908,0.0015908
33,488.782,2.10554,1.88672,0.88475,0.75766,0.59366,0.66946,0.26092,2.05009,1.67597,0.88705,0.0015776,0.0015776,0.0015776
