epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.4445,3.93898,19.1226,1.53789,0.46457,0.35256,0.30162,0.08918,3.19926,1.76038,1.29158,0.000662983,0.000662983,0.000662983
2,92.8165,3.33627,1.98768,1.30417,0.49592,0.41466,0.36085,0.10994,2.95581,1.55971,1.24459,0.00132087,0.00132087,0.00132087
3,128.829,3.27796,1.86112,1.29357,0.47875,0.3719,0.33664,0.09751,3.07023,1.60706,1.26926,0.00196997,0.00196997,0.00196997
4,164.094,3.12814,1.74549,1.27285,0.51957,0.4439,0.39666,0.12625,2.98495,1.5212,1.23866,0.0019604,0.0019604,0.0019604
5,199.516,3.0248,1.68926,1.25487,0.59742,0.48623,0.47177,0.1479,2.85394,1.45534,1.24737,0.0019472,0.0019472,0.0019472
6,234.856,3.02915,1.65542,1.25616,0.47273,0.40496,0.35972,0.11039,2.98972,1.47479,1.23436,0.001934,0.001934,0.001934
7,270.255,2.9411,1.6459,1.24335,0.6554,0.48203,0.50559,0.17326,2.73475,1.34626,1.21134,0.0019208,0.0019208,0.0019208
8,305.649,2.9199,1.61492,1.23448,0.60237,0.44904,0.45404,0.1502,2.88946,1.46089,1.22218,0.0019076,0.0019076,0.0019076
9,340.949,2.87037,1.533,1.22683,0.71955,0.49587,0.54403,0.19726,2.64956,1.29147,1.21053,0.0018944,0.0018944,0.0018944
10,376.32,2.82466,1.52359,1.22727,0.67428,0.52066,0.54938,0.18626,2.6448,1.26353,1.20526,0.0018812,0.0018812,0.0018812
11,411.691,2.82972,1.48043,1.22632,0.7218,0.49587,0.55719,0.20683,2.60151,1.25842,1.21491,0.001868,0.001868,0.001868
12,447.05,2.7646,1.47014,1.22232,0.69079,0.52342,0.56246,0.20114,2.60181,1.26165,1.20933,0.0018548,0.0018548,0.0018548
13,482.259,2.78203,1.4405,1.21548,0.67701,0.49081,0.52551,0.18282,2.65302,1.29362,1.2107,0.0018416,0.0018416,0.0018416
14,517.567,2.72945,1.41439,1.2193,0.68109,0.5648,0.59241,0.21129,2.58763,1.20464,1.19959,0.0018284,0.0018284,0.0018284
15,552.996,2.73412,1.42324,1.21575,0.658,0.50275,0.54352,0.18965,2.63531,1.29757,1.19561,0.0018152,0.0018152,0.0018152
16,588.291,2.74544,1.38663,1.20822,0.74457,0.57014,0.62622,0.231,2.50458,1.17361,1.19695,0.001802,0.001802,0.001802
17,623.652,2.68657,1.39216,1.21029,0.69228,0.50413,0.54324,0.19355,2.6705,1.30896,1.21549,0.0017888,0.0017888,0.0017888
18,659.015,2.6734,1.37765,1.20139,0.72083,0.5427,0.60109,0.21345,2.59768,1.17861,1.20234,0.0017756,0.0017756,0.0017756
19,694.384,2.63442,1.35389,1.20483,0.71081,0.54847,0.60946,0.2114,2.52169,1.13971,1.19715,0.0017624,0.0017624,0.0017624
20,729.641,2.67281,1.37472,1.195,0.72242,0.55647,0.59994,0.21976,2.55998,1.16901,1.19023,0.0017492,0.0017492,0.0017492
21,764.985,2.65237,1.35657,1.19983,0.77151,0.51102,0.5947,0.223,2.50849,1.1536,1.19689,0.001736,0.001736,0.001736
22,800.289,2.61161,1.33024,1.18828,0.75525,0.5427,0.60217,0.22263,2.54806,1.18546,1.19597,0.0017228,0.0017228,0.0017228
23,835.696,2.62086,1.32699,1.18503,0.74302,0.55785,0.61368,0.22201,2.49545,1.13675,1.19186,0.0017096,0.0017096,0.0017096
24,871.022,2.57692,1.29269,1.19582,0.73809,0.56061,0.60756,0.22825,2.50711,1.13527,1.19533,0.0016964,0.0016964,0.0016964
25,906.298,2.61112,1.31161,1.19092,0.78791,0.52617,0.61272,0.2251,2.49962,1.12964,1.18282,0.0016832,0.0016832,0.0016832
26,941.628,2.58356,1.29651,1.19768,0.71197,0.58903,0.6335,0.23158,2.47927,1.11076,1.17989,0.00167,0.00167,0.00167
27,977.067,2.54719,1.27967,1.18764,0.7702,0.56749,0.63393,0.23359,2.51101,1.15245,1.19509,0.0016568,0.0016568,0.0016568
28,1012.38,2.57119,1.26472,1.18598,0.77286,0.58115,0.64001,0.2397,2.50177,1.11718,1.18584,0.0016436,0.0016436,0.0016436
29,1047.69,2.55222,1.27201,1.18027,0.73659,0.60193,0.64524,0.24887,2.45956,1.15846,1.18537,0.0016304,0.0016304,0.0016304
30,1083.01,2.54778,1.2668,1.18634,0.77123,0.5854,0.64779,0.24933,2.42119,1.078,1.17883,0.0016172,0.0016172,0.0016172
31,1118.39,2.54466,1.25605,1.17431,0.7389,0.58953,0.64767,0.24911,2.37847,1.09523,1.1789,0.001604,0.001604,0.001604
32,1153.62,2.53658,1.2369,1.18004,0.74972,0.58178,0.6462,0.25008,2.3943,1.0773,1.1796,0.0015908,0.0015908,0.0015908
33,1188.88,2.51554,1.21752,1.17719,0.76453,0.58264,0.6462,0.24858,2.43622,1.10335,1.18041,0.0015776,0.0015776,0.0015776
