epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6645,3.99205,19.2208,1.54406,0.43397,0.35124,0.28048,0.07912,3.28802,1.77745,1.30777,0.000662983,0.000662983,0.000662983
2,79.2664,3.37557,1.99707,1.30738,0.49331,0.38567,0.33976,0.09108,3.17902,1.68997,1.27633,0.00132087,0.00132087,0.00132087
3,116.69,3.20855,1.84076,1.27865,0.49107,0.3336,0.31495,0.08848,3.2134,1.70665,1.27453,0.00196997,0.00196997,0.00196997
4,153.253,3.1186,1.77122,1.27129,0.52741,0.39813,0.36498,0.10366,3.23415,1.51838,1.25366,0.0019604,0.0019604,0.0019604
5,189.971,3.06582,1.70672,1.26482,0.667,0.45246,0.49535,0.15224,2.9202,1.37304,1.23987,0.0019472,0.0019472,0.0019472
6,226.613,2.9753,1.617,1.24814,0.63415,0.43931,0.50087,0.17632,2.73147,1.30253,1.22957,0.001934,0.001934,0.001934
7,262.808,2.93391,1.60751,1.24578,0.64557,0.44766,0.47977,0.15194,2.862,1.34822,1.24117,0.0019208,0.0019208,0.0019208
8,298.08,2.89989,1.58608,1.23058,0.60595,0.4146,0.42866,0.1417,2.88092,1.47584,1.22172,0.0019076,0.0019076,0.0019076
9,333.301,2.84133,1.51401,1.22436,0.69113,0.49006,0.53002,0.17083,2.86828,1.37297,1.23918,0.0018944,0.0018944,0.0018944
10,368.489,2.83228,1.53425,1.22819,0.70394,0.5,0.55509,0.1954,2.71309,1.28514,1.21051,0.0018812,0.0018812,0.0018812
11,403.968,2.81551,1.47993,1.2217,0.70776,0.52893,0.56521,0.18769,2.69086,1.29935,1.21115,0.001868,0.001868,0.001868
12,439.289,2.77593,1.48044,1.22254,0.6404,0.5225,0.54749,0.18406,2.68007,1.24699,1.21448,0.0018548,0.0018548,0.0018548
13,475.27,2.74388,1.43052,1.21116,0.75234,0.5124,0.57662,0.20806,2.6143,1.22658,1.20718,0.0018416,0.0018416,0.0018416
14,510.512,2.72784,1.42417,1.21811,0.72955,0.50826,0.57676,0.21217,2.59064,1.22822,1.20486,0.0018284,0.0018284,0.0018284
15,546.013,2.72961,1.42606,1.21232,0.69106,0.52379,0.58257,0.21121,2.51162,1.20294,1.18908,0.0018152,0.0018152,0.0018152
16,581.807,2.70255,1.41097,1.20551,0.73828,0.53231,0.59448,0.21316,2.60769,1.2346,1.19987,0.001802,0.001802,0.001802
17,617.06,2.68983,1.40798,1.21091,0.73672,0.52893,0.57979,0.2029,2.6365,1.24144,1.20473,0.0017888,0.0017888,0.0017888
18,652.255,2.66555,1.373,1.19874,0.7167,0.55647,0.58797,0.20774,2.67605,1.28362,1.20342,0.0017756,0.0017756,0.0017756
19,687.528,2.60407,1.33793,1.20307,0.74495,0.56061,0.61945,0.23417,2.51043,1.17432,1.19628,0.0017624,0.0017624,0.0017624
20,722.714,2.69608,1.39737,1.19875,0.69649,0.52755,0.58582,0.21649,2.5662,1.19398,1.19172,0.0017492,0.0017492,0.0017492
21,757.904,2.64142,1.34758,1.19929,0.71954,0.5303,0.59662,0.21435,2.53335,1.1923,1.19502,0.001736,0.001736,0.001736
22,793.129,2.61935,1.32769,1.19171,0.68461,0.54683,0.58901,0.22043,2.49517,1.19528,1.19651,0.0017228,0.0017228,0.0017228
23,828.517,2.61054,1.33472,1.18661,0.75189,0.56474,0.62227,0.23973,2.4155,1.11876,1.18291,0.0017096,0.0017096,0.0017096
24,863.778,2.57135,1.29133,1.19341,0.73246,0.55433,0.61203,0.22677,2.56498,1.17541,1.19149,0.0016964,0.0016964,0.0016964
25,898.96,2.57174,1.28796,1.18927,0.72403,0.54132,0.60786,0.22905,2.53358,1.15484,1.1978,0.0016832,0.0016832,0.0016832
26,934.177,2.57202,1.28307,1.19427,0.77048,0.56873,0.62409,0.21656,2.51498,1.15195,1.18563,0.00167,0.00167,0.00167
27,969.451,2.54893,1.28426,1.1896,0.75825,0.57163,0.6329,0.24348,2.48161,1.1001,1.18412,0.0016568,0.0016568,0.0016568
28,1004.68,2.55842,1.26958,1.18394,0.79013,0.57438,0.65089,0.24458,2.48056,1.10339,1.1834,0.0016436,0.0016436,0.0016436
29,1039.98,2.52938,1.26062,1.1815,0.75739,0.5805,0.63118,0.2375,2.50215,1.10228,1.19083,0.0016304,0.0016304,0.0016304
30,1075.22,2.53782,1.2613,1.18421,0.7597,0.57851,0.65031,0.24961,2.39326,1.0905,1.18771,0.0016172,0.0016172,0.0016172
31,1110.57,2.56278,1.27192,1.17647,0.77113,0.5854,0.65942,0.26046,2.38866,1.08525,1.17811,0.001604,0.001604,0.001604
32,1146.01,2.52143,1.24615,1.18219,0.80211,0.56949,0.64829,0.24698,2.40892,1.08272,1.18187,0.0015908,0.0015908,0.0015908
33,1181.23,2.5175,1.21696,1.17529,0.75456,0.58438,0.63655,0.25249,2.44947,1.09468,1.18174,0.0015776,0.0015776,0.0015776
34,1216.47,2.47221,1.21504,1.17451,0.77781,0.58953,0.66237,0.26192,2.37001,1.09333,1.17634,0.0015644,0.0015644,0.0015644
35,1251.84,2.49841,1.21339,1.18182,0.76673,0.58127,0.65038,0.25496,2.44928,1.08784,1.17334,0.0015512,0.0015512,0.0015512
36,1287.11,2.50462,1.21434,1.17963,0.77771,0.57345,0.64898,0.24691,2.44119,1.0486,1.18176,0.001538,0.001538,0.001538
37,1323.35,2.48106,1.21565,1.17502,0.81013,0.59945,0.68303,0.25884,2.41787,1.02736,1.17843,0.0015248,0.0015248,0.0015248
38,1358.74,2.50413,1.20676,1.18336,0.77791,0.55966,0.62902,0.23965,2.46758,1.07247,1.1817,0.0015116,0.0015116,0.0015116
39,1394.27,2.47041,1.21182,1.17106,0.7656,0.57989,0.64671,0.26379,2.38791,1.04461,1.18047,0.0014984,0.0014984,0.0014984
40,1429.8,2.52422,1.22509,1.17763,0.74206,0.58953,0.65995,0.26545,2.39936,1.07828,1.17736,0.0014852,0.0014852,0.0014852
41,1465.34,2.4649,1.193,1.16789,0.78826,0.59996,0.67074,0.25456,2.47542,1.05355,1.1794,0.001472,0.001472,0.001472
42,1500.88,2.43998,1.18256,1.16606,0.79382,0.59925,0.66785,0.26433,2.40388,1.0487,1.17216,0.0014588,0.0014588,0.0014588
43,1536.48,2.44145,1.16921,1.16233,0.75189,0.59691,0.65548,0.25805,2.41186,1.02911,1.17809,0.0014456,0.0014456,0.0014456
44,1571.93,2.44234,1.17247,1.16322,0.7785,0.60055,0.6777,0.26965,2.37983,1.01042,1.17595,0.0014324,0.0014324,0.0014324
45,1607.52,2.45336,1.17141,1.17239,0.8186,0.58429,0.6782,0.27272,2.41446,1.01794,1.17491,0.0014192,0.0014192,0.0014192
46,1643.06,2.44154,1.15525,1.1685,0.78544,0.64038,0.70155,0.27756,2.36398,0.98757,1.17508,0.001406,0.001406,0.001406
47,1679.99,2.40876,1.1622,1.16954,0.75715,0.58678,0.6497,0.25737,2.44576,1.04753,1.17951,0.0013928,0.0013928,0.0013928
48,1715.38,2.44691,1.15364,1.16642,0.81975,0.60468,0.67596,0.27346,2.35409,0.98638,1.17433,0.0013796,0.0013796,0.0013796
49,1750.84,2.42201,1.13432,1.1644,0.80995,0.61051,0.67972,0.27425,2.36547,1.0204,1.17252,0.0013664,0.0013664,0.0013664
50,1786.34,2.39378,1.12962,1.16529,0.79998,0.63085,0.69228,0.275,2.35149,1.02183,1.17593,0.0013532,0.0013532,0.0013532
51,1821.86,2.4033,1.14217,1.15992,0.79946,0.626,0.69264,0.26342,2.38864,1.00122,1.17682,0.00134,0.00134,0.00134
52,1857.36,2.39075,1.15305,1.16382,0.77603,0.61295,0.66715,0.25354,2.43297,1.01156,1.1841,0.0013268,0.0013268,0.0013268
53,1892.85,2.38997,1.11827,1.15573,0.82222,0.64325,0.71321,0.28387,2.37328,0.97836,1.1731,0.0013136,0.0013136,0.0013136
54,1928.42,2.35894,1.10825,1.15595,0.78879,0.63774,0.69298,0.27136,2.43685,1.04539,1.17395,0.0013004,0.0013004,0.0013004
55,1963.81,2.3987,1.12896,1.15686,0.77144,0.6157,0.67817,0.27104,2.41319,1.00767,1.17445,0.0012872,0.0012872,0.0012872
56,1999.04,2.37827,1.10722,1.15737,0.76924,0.61708,0.68577,0.27809,2.3458,0.97358,1.16641,0.001274,0.001274,0.001274
57,2034.44,2.38499,1.11417,1.15904,0.81901,0.60882,0.68848,0.27504,2.34508,1.01628,1.16699,0.0012608,0.0012608,0.0012608
58,2070.13,2.33887,1.09009,1.15243,0.77882,0.61983,0.68523,0.27263,2.38337,1.02445,1.17334,0.0012476,0.0012476,0.0012476
59,2105.7,2.383,1.11628,1.15463,0.81748,0.62672,0.70363,0.28311,2.33421,0.97807,1.16552,0.0012344,0.0012344,0.0012344
60,2141.85,2.34398,1.10161,1.15744,0.78304,0.62259,0.67735,0.27154,2.31081,1.00044,1.16862,0.0012212,0.0012212,0.0012212
61,2177.35,2.3158,1.08075,1.14179,0.84375,0.61019,0.70818,0.2891,2.34836,0.99185,1.16812,0.001208,0.001208,0.001208
62,2212.92,2.33806,1.08815,1.15256,0.81345,0.61708,0.6874,0.27699,2.36574,0.97902,1.16739,0.0011948,0.0011948,0.0011948
63,2248.44,2.31185,1.06322,1.15007,0.82603,0.6157,0.69528,0.27958,2.32859,0.97597,1.17124,0.0011816,0.0011816,0.0011816
64,2283.9,2.31076,1.06295,1.14944,0.79674,0.61552,0.69369,0.28286,2.34439,0.99651,1.17486,0.0011684,0.0011684,0.0011684
65,2319.39,2.32773,1.0781,1.14571,0.81224,0.61983,0.69702,0.29455,2.30666,0.98208,1.1656,0.0011552,0.0011552,0.0011552
66,2354.94,2.31966,1.07346,1.14786,0.79942,0.63912,0.71338,0.29375,2.36836,0.9839,1.16777,0.001142,0.001142,0.001142
67,2390.53,2.29612,1.04425,1.1549,0.83946,0.63361,0.72238,0.2933,2.35498,0.95859,1.16808,0.0011288,0.0011288,0.0011288
68,2426.07,2.32094,1.05212,1.146,0.81866,0.62182,0.71243,0.28486,2.37043,0.99275,1.16767,0.0011156,0.0011156,0.0011156
69,2461.52,2.32243,1.06404,1.14755,0.81452,0.62302,0.71681,0.27537,2.40754,0.95552,1.17686,0.0011024,0.0011024,0.0011024
70,2497,2.31155,1.04001,1.15575,0.84761,0.6359,0.72354,0.29759,2.35228,0.93658,1.17205,0.0010892,0.0010892,0.0010892
71,2532.6,2.28346,1.05208,1.14955,0.80604,0.63361,0.72004,0.2973,2.33901,0.96145,1.1698,0.001076,0.001076,0.001076
72,2568.07,2.29843,1.0408,1.14811,0.81458,0.64601,0.71355,0.28658,2.36765,0.94811,1.17158,0.0010628,0.0010628,0.0010628
73,2603.49,2.25053,1.01239,1.13852,0.82227,0.62672,0.71283,0.29669,2.31959,0.94017,1.1678,0.0010496,0.0010496,0.0010496
74,2639,2.25367,1.02877,1.14066,0.8146,0.64738,0.72126,0.29426,2.3381,0.9339,1.16947,0.0010364,0.0010364,0.0010364
75,2675.06,2.27227,1.04274,1.14489,0.83414,0.64325,0.70864,0.28773,2.32082,0.93813,1.16706,0.0010232,0.0010232,0.0010232
76,2710.94,2.26178,1.02512,1.13942,0.7836,0.65152,0.71128,0.29408,2.31423,0.96387,1.16433,0.00101,0.00101,0.00101
77,2746.87,2.2722,1.03544,1.15006,0.81405,0.6452,0.70828,0.28869,2.33759,0.95843,1.16885,0.0009968,0.0009968,0.0009968
78,2782.81,2.25362,1.03622,1.13737,0.84064,0.64187,0.71778,0.28613,2.33344,0.96194,1.16486,0.0009836,0.0009836,0.0009836
79,2818.82,2.21196,0.99664,1.13753,0.84118,0.64325,0.71658,0.29427,2.3642,0.93571,1.17335,0.0009704,0.0009704,0.0009704
80,2854.73,2.23982,1.02143,1.14375,0.84156,0.63774,0.72004,0.29808,2.30366,0.92608,1.17386,0.0009572,0.0009572,0.0009572
81,2890.74,2.22053,1.00267,1.13717,0.80821,0.63849,0.70726,0.29212,2.30827,0.9617,1.16622,0.000944,0.000944,0.000944
82,2926.32,2.22944,1.03263,1.14498,0.82778,0.63499,0.71625,0.29508,2.29535,0.93896,1.16341,0.0009308,0.0009308,0.0009308
83,2961.55,2.23335,1.00993,1.12991,0.80371,0.6373,0.71485,0.29256,2.31872,0.94747,1.16692,0.0009176,0.0009176,0.0009176
84,2996.67,2.21963,1.00842,1.12462,0.84795,0.64187,0.71706,0.29978,2.30696,0.94947,1.16807,0.0009044,0.0009044,0.0009044
85,3032.01,2.17942,0.98185,1.13379,0.8249,0.64889,0.72872,0.30409,2.34035,0.93631,1.16832,0.0008912,0.0008912,0.0008912
86,3067.13,2.2027,0.99311,1.13156,0.83261,0.65978,0.74291,0.30843,2.33966,0.94017,1.17122,0.000878,0.000878,0.000878
87,3102.53,2.18216,0.98344,1.12812,0.83246,0.66385,0.71441,0.29143,2.30382,0.93912,1.16835,0.0008648,0.0008648,0.0008648
88,3138.22,2.19278,0.98043,1.1313,0.81598,0.65978,0.72251,0.29266,2.32585,0.94264,1.17222,0.0008516,0.0008516,0.0008516
89,3173.91,2.20288,0.99651,1.12879,0.84322,0.65191,0.72448,0.2982,2.30969,0.94319,1.1662,0.0008384,0.0008384,0.0008384
90,3209.62,2.17643,0.97187,1.12941,0.82501,0.65014,0.7295,0.29258,2.32557,0.94014,1.16515,0.0008252,0.0008252,0.0008252
91,3245.34,2.19437,1.00017,1.13392,0.83322,0.64687,0.72102,0.29505,2.31335,0.93654,1.16477,0.000812,0.000812,0.000812
92,3280.96,2.19555,0.9884,1.12998,0.83796,0.63393,0.7212,0.30396,2.31769,0.93129,1.16716,0.0007988,0.0007988,0.0007988
93,3316.63,2.16717,0.97051,1.1278,0.8455,0.6584,0.7343,0.30893,2.31502,0.91789,1.16698,0.0007856,0.0007856,0.0007856
94,3352.23,2.14575,0.9595,1.12282,0.83554,0.64187,0.71868,0.30456,2.32557,0.95557,1.17255,0.0007724,0.0007724,0.0007724
95,3387.88,2.17645,0.98669,1.12893,0.83714,0.65014,0.727,0.3044,2.31642,0.93547,1.16411,0.0007592,0.0007592,0.0007592
96,3423.62,2.15263,0.95353,1.11714,0.83777,0.64728,0.73595,0.30706,2.30573,0.94104,1.1684,0.000746,0.000746,0.000746
