epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9212,2.42768,4.62463,2.07312,0.10269,0.10606,0.03773,0.00658,3.66376,15.374,1.2072,0.0701422,0.00331754,0.00331754
2,107.304,2.28482,3.31892,1.98302,0.24694,0.15152,0.08988,0.02245,3.15413,3.76535,1.16774,0.0400983,0.00660697,0.00660697
3,156.691,2.19476,3.05452,1.89874,0.23733,0.10055,0.04893,0.01031,3.7094,3.86306,1.18458,0.0100104,0.00985241,0.00985241
4,205.911,2.14071,2.96597,1.86817,0.27489,0.22715,0.14328,0.03628,3.06437,3.67959,1.12926,0.009802,0.009802,0.009802
5,255.246,2.12056,2.90807,1.85362,0.33714,0.16814,0.13342,0.03562,3.00295,3.51213,1.09974,0.009736,0.009736,0.009736
6,304.455,2.08823,2.75846,1.80929,0.3394,0.24518,0.16756,0.04006,2.95624,3.16659,1.08742,0.00967,0.00967,0.00967
7,353.607,2.06223,2.6608,1.78447,0.42927,0.25895,0.21854,0.05161,3.03265,3.05054,1.09348,0.009604,0.009604,0.009604
8,402.801,2.02914,2.59746,1.76788,0.4636,0.24761,0.21878,0.06155,2.88649,3.10559,1.08926,0.009538,0.009538,0.009538
9,452.808,2.02046,2.56097,1.75577,0.42517,0.30854,0.2664,0.07538,2.73218,2.70372,1.05334,0.009472,0.009472,0.009472
10,502.106,2.01697,2.53991,1.75794,0.45899,0.29916,0.26346,0.06912,2.7149,2.62612,1.04274,0.009406,0.009406,0.009406
11,551.471,1.9892,2.51911,1.73806,0.49032,0.30992,0.29115,0.08473,2.63136,2.74734,1.0407,0.00934,0.00934,0.00934
12,600.776,1.94622,2.42805,1.70537,0.45992,0.36226,0.33226,0.09788,2.62792,2.64939,1.04453,0.009274,0.009274,0.009274
13,650.222,1.9708,2.40494,1.72069,0.57994,0.37879,0.36954,0.10873,2.53934,2.61713,1.0173,0.009208,0.009208,0.009208
14,699.57,1.96368,2.36172,1.71145,0.45616,0.2562,0.24233,0.06323,2.65424,3.06954,1.0341,0.009142,0.009142,0.009142
15,748.867,1.95231,2.30556,1.70663,0.50295,0.34148,0.32019,0.08386,2.62828,2.48343,1.02476,0.009076,0.009076,0.009076
16,798.05,1.97518,2.34974,1.70209,0.57314,0.31818,0.33628,0.09702,2.58738,2.41005,1.03675,0.00901,0.00901,0.00901
17,847.357,1.92521,2.2579,1.69582,0.47314,0.34883,0.33278,0.11027,2.39326,2.39883,1.00829,0.008944,0.008944,0.008944
18,896.257,1.92168,2.23894,1.68228,0.43262,0.31818,0.29122,0.09017,2.66098,2.59407,1.03275,0.008878,0.008878,0.008878
19,945.334,1.91619,2.21028,1.67205,0.51629,0.3292,0.31732,0.09203,2.62096,2.6532,1.02992,0.008812,0.008812,0.008812
