epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2602,3.88099,3.54953,4.04556,0.33267,0.23691,0.15675,0.04394,4.79734,2.12134,2.06209,0.00331754,0.00331754,0.00331754
2,112.779,3.2709,1.79608,3.2425,0.34442,0.30028,0.20448,0.05387,4.721,2.04292,1.9917,0.00660697,0.00660697,0.00660697
3,161.026,3.30856,1.79888,3.28269,0.224,0.22623,0.11214,0.02826,5.12876,2.42763,2.23483,0.00985241,0.00985241,0.00985241
4,209.267,3.32042,1.85268,3.39019,0.29654,0.16667,0.10565,0.02562,5.09628,2.22752,2.26593,0.009802,0.009802,0.009802
5,257.795,3.27645,1.74695,3.41088,0.37293,0.11295,0.0988,0.02561,4.98562,2.45999,2.26408,0.009736,0.009736,0.009736
6,306.269,3.23857,1.71091,3.38016,0.30733,0.28512,0.18065,0.04693,4.45477,2.06031,2.12283,0.00967,0.00967,0.00967
7,354.545,3.21124,1.64734,3.3524,0.2919,0.22258,0.13372,0.02888,5.27487,1.98085,2.10228,0.009604,0.009604,0.009604
8,403.167,3.15633,1.56975,3.30836,0.42596,0.34022,0.27494,0.07708,4.50903,1.80129,1.99266,0.009538,0.009538,0.009538
9,451.756,3.12765,1.52315,3.27402,0.45764,0.35675,0.30962,0.08587,4.44654,1.76777,2.02885,0.009472,0.009472,0.009472
10,501.206,3.14288,1.51433,3.26656,0.4851,0.37879,0.3457,0.10053,4.25633,1.6596,1.94417,0.009406,0.009406,0.009406
11,549.44,3.07648,1.47452,3.22887,0.49791,0.39945,0.3638,0.11167,4.24064,1.67221,1.95778,0.00934,0.00934,0.00934
12,597.909,3.05702,1.4358,3.17491,0.44485,0.37638,0.31831,0.10021,4.16817,1.62705,1.92569,0.009274,0.009274,0.009274
13,646.23,3.04317,1.42026,3.20174,0.49095,0.38292,0.35543,0.11162,4.17986,1.57564,1.92929,0.009208,0.009208,0.009208
14,694.633,3.04415,1.40485,3.1918,0.52069,0.38605,0.38182,0.11808,4.09336,1.57477,1.91369,0.009142,0.009142,0.009142
15,742.982,3.00186,1.36656,3.16527,0.44708,0.3719,0.33174,0.09939,4.17496,1.68987,1.93875,0.009076,0.009076,0.009076
16,791.261,3.0135,1.36968,3.15392,0.50602,0.3843,0.34819,0.10969,4.12123,1.61755,1.93467,0.00901,0.00901,0.00901
17,839.679,2.99294,1.33238,3.15599,0.54232,0.44353,0.41025,0.12002,4.0143,1.55312,1.88716,0.008944,0.008944,0.008944
18,888.267,2.98864,1.30623,3.13669,0.55939,0.43939,0.42864,0.1253,4.04799,1.44167,1.91702,0.008878,0.008878,0.008878
19,937.016,2.9726,1.28337,3.13349,0.47252,0.39978,0.35492,0.10911,4.00627,1.56765,1.89484,0.008812,0.008812,0.008812
20,985.939,2.95242,1.2713,3.13551,0.57148,0.4022,0.41503,0.13696,3.96254,1.46033,1.90284,0.008746,0.008746,0.008746
21,1034.43,2.95516,1.26835,3.11127,0.5548,0.45145,0.44995,0.13511,3.80529,1.4865,1.86714,0.00868,0.00868,0.00868
22,1083.08,2.93972,1.24309,3.10465,0.50907,0.38981,0.34056,0.09969,4.16884,1.52618,1.94173,0.008614,0.008614,0.008614
23,1131.43,2.91874,1.24977,3.10458,0.62687,0.42149,0.4308,0.13952,3.80057,1.45884,1.87048,0.008548,0.008548,0.008548
24,1179.89,2.91897,1.23461,3.09516,0.58561,0.43664,0.43366,0.13979,3.87066,1.46414,1.85627,0.008482,0.008482,0.008482
25,1228.1,2.89303,1.23032,3.07775,0.60777,0.46143,0.47029,0.15973,3.71041,1.42116,1.85823,0.008416,0.008416,0.008416
26,1276.29,2.8926,1.21014,3.06103,0.57357,0.47658,0.45719,0.15447,3.65824,1.37504,1.83189,0.00835,0.00835,0.00835
27,1324.66,2.90821,1.22516,3.076,0.5952,0.43939,0.45351,0.1555,3.76879,1.37886,1.87993,0.008284,0.008284,0.008284
28,1373.16,2.88785,1.1998,3.0628,0.59448,0.46039,0.47952,0.16155,3.67645,1.39242,1.81973,0.008218,0.008218,0.008218
29,1421.68,2.87253,1.20632,3.03431,0.68377,0.47653,0.50791,0.17107,3.77447,1.35999,1.85682,0.008152,0.008152,0.008152
30,1470.09,2.86213,1.18552,3.04595,0.61442,0.4763,0.48695,0.16352,3.78149,1.39356,1.86233,0.008086,0.008086,0.008086
31,1518.75,2.85315,1.18182,3.03147,0.62198,0.4876,0.48389,0.1635,3.65678,1.35968,1.84403,0.00802,0.00802,0.00802
32,1567.26,2.82264,1.13901,3.03178,0.62329,0.45592,0.49057,0.16286,3.68819,1.37983,1.8359,0.007954,0.007954,0.007954
33,1615.62,2.83583,1.15051,3.01694,0.66789,0.46815,0.51138,0.1729,3.69698,1.33488,1.84114,0.007888,0.007888,0.007888
34,1664.05,2.86711,1.15583,3.04994,0.61971,0.47586,0.49619,0.17411,3.63268,1.3866,1.83654,0.007822,0.007822,0.007822
35,1711.91,2.81335,1.12707,3.00999,0.67462,0.47796,0.49208,0.16383,3.66185,1.33505,1.83699,0.007756,0.007756,0.007756
36,1760.16,2.82876,1.11971,3.01058,0.59864,0.53306,0.53181,0.19249,3.61446,1.29578,1.81965,0.00769,0.00769,0.00769
37,1808.92,2.81189,1.12185,3.02649,0.6771,0.49725,0.52614,0.1877,3.60287,1.34789,1.83361,0.007624,0.007624,0.007624
38,1857.12,2.81851,1.11759,3.02084,0.65063,0.51515,0.51854,0.17825,3.56073,1.30301,1.82116,0.007558,0.007558,0.007558
