epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1724,3.58293,80.8582,1.3003,0.38022,0.3294,0.23757,0.05865,2.89561,7.77926,0.96014,0.0703529,0.00329412,0.00329412
2,44.7617,2.88229,3.33583,0.97947,0.37307,0.38699,0.26853,0.08008,2.86046,13.2491,0.94828,0.0403092,0.00658371,0.00658371
3,64.7976,2.97383,3.24383,0.99456,0.37908,0.33076,0.2232,0.05949,2.84646,8.56301,1.03796,0.0102215,0.0098293,0.0098293
4,84.7304,2.97271,3.03,1.00065,0.38096,0.36384,0.25349,0.06405,3.0065,6.63669,0.98774,0.009802,0.009802,0.009802
5,104.635,2.83827,2.84987,0.97821,0.39266,0.38136,0.25899,0.07305,2.71647,3.26369,0.9625,0.009736,0.009736,0.009736
6,124.515,2.67989,2.7366,0.96465,0.45782,0.4357,0.33642,0.10256,2.64634,3.03152,0.96202,0.00967,0.00967,0.00967
7,144.437,2.60015,2.59705,0.95442,0.52749,0.42832,0.39232,0.1124,2.73422,3.22451,0.9777,0.009604,0.009604,0.009604
8,164.378,2.5394,2.51601,0.94366,0.56307,0.49394,0.47897,0.142,2.50698,2.29309,0.94527,0.009538,0.009538,0.009538
9,184.364,2.50221,2.47732,0.9382,0.66354,0.48732,0.47381,0.15252,2.5054,2.6059,0.93185,0.009472,0.009472,0.009472
10,204.361,2.45236,2.41773,0.93014,0.64387,0.53821,0.53822,0.17884,2.3808,2.21593,0.92565,0.009406,0.009406,0.009406
11,224.286,2.44305,2.37471,0.93343,0.60428,0.52481,0.48389,0.14869,2.40917,2.21316,0.91972,0.00934,0.00934,0.00934
12,244.21,2.41481,2.26828,0.92514,0.69155,0.49173,0.52811,0.16712,2.36354,2.16865,0.92322,0.009274,0.009274,0.009274
13,264.061,2.37736,2.26981,0.92525,0.69663,0.54355,0.58769,0.19758,2.33706,1.88575,0.91971,0.009208,0.009208,0.009208
14,284.059,2.38112,2.26051,0.92003,0.63496,0.47299,0.49939,0.17168,2.46609,2.15567,0.92678,0.009142,0.009142,0.009142
15,303.94,2.3446,2.20265,0.91947,0.73777,0.56009,0.61275,0.21537,2.33662,1.98085,0.90434,0.009076,0.009076,0.009076
16,323.892,2.36829,2.23328,0.91596,0.7204,0.57111,0.61337,0.20743,2.28401,1.86076,0.91476,0.00901,0.00901,0.00901
17,343.731,2.33118,2.16354,0.91167,0.78694,0.58765,0.64255,0.23496,2.21387,1.9876,0.906,0.008944,0.008944,0.008944
