epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.5147,3.07497,47.386,1.37434,0.00023,0.01544,0.00012,3e-05,nan,nan,nan,0.0703529,0.00329412,0.00329412
2,158.104,2.60121,2.98862,1.17748,0.1999,0.45976,0.15732,0.04839,2.5729,24.0281,1.21213,0.0403092,0.00658371,0.00658371
3,236.473,2.49657,2.77215,1.14672,0.36358,0.42778,0.29016,0.07246,2.75414,5.60875,1.22253,0.0102215,0.0098293,0.0098293
4,313.746,2.43135,2.64211,1.12668,0.59332,0.50827,0.50569,0.1717,2.26156,2.64432,1.11192,0.009802,0.009802,0.009802
5,390.446,2.3519,2.5311,1.10288,0.32849,0.26792,0.20958,0.06059,3.00242,3.59587,1.25787,0.009736,0.009736,0.009736
6,469.479,2.3258,2.49377,1.10593,0.53523,0.42999,0.42611,0.13142,2.53119,2.64536,1.14526,0.00967,0.00967,0.00967
7,546.403,2.31894,2.38714,1.09612,0.63707,0.52061,0.56399,0.20146,2.24585,2.18002,1.1,0.009604,0.009604,0.009604
8,625.131,2.27742,2.34392,1.08457,0.51775,0.42448,0.4145,0.12848,2.68598,2.65504,1.19019,0.009538,0.009538,0.009538
9,704.081,2.24731,2.31622,1.07532,0.73725,0.55067,0.62917,0.22482,2.22724,2.02747,1.10908,0.009472,0.009472,0.009472
10,781.886,2.21393,2.2842,1.07112,0.52444,0.51488,0.51069,0.1822,2.50159,2.35558,1.15602,0.009406,0.009406,0.009406
11,859.296,2.1998,2.25525,1.0674,0.66685,0.57332,0.58196,0.21855,2.12405,2.07586,1.08283,0.00934,0.00934,0.00934
12,934.493,2.18608,2.2038,1.06345,0.45748,0.46858,0.41564,0.16772,2.42355,5.55448,1.20987,0.009274,0.009274,0.009274
13,1011.63,2.15808,2.1207,1.05923,0.77235,0.62293,0.71113,0.29256,2.05104,1.8467,1.06893,0.009208,0.009208,0.009208
14,1087.91,2.16373,2.15378,1.05955,0.76502,0.61963,0.66318,0.23911,2.21717,2.34826,1.10487,0.009142,0.009142,0.009142
15,1164.2,2.14546,2.09494,1.0544,0.66157,0.55017,0.60051,0.22806,2.32559,2.27836,1.12706,0.009076,0.009076,0.009076
16,1241.59,2.1543,2.13695,1.04753,0.78953,0.65346,0.74189,0.31607,2.03081,1.68582,1.05704,0.00901,0.00901,0.00901
17,1313.79,2.13594,2.10505,1.03979,0.78953,0.65346,0.74189,0.31607,nan,nan,nan,0.008944,0.008944,0.008944
18,1395.06,2.131,2.10469,1.04078,0.78578,0.6505,0.71782,0.28054,2.12997,1.74976,1.08309,0.008878,0.008878,0.008878
19,1472.09,2.12349,2.07953,1.03951,0.71581,0.62404,0.65984,0.24196,2.1369,1.79817,1.06344,0.008812,0.008812,0.008812
20,1552.47,2.13408,2.0822,1.04764,0.63798,0.62404,0.58051,0.21612,2.0276,2.08725,1.06067,0.008746,0.008746,0.008746
21,1630.77,2.10444,2.11607,1.0333,0.72676,0.62734,0.69916,0.28182,2.02708,1.87992,1.06821,0.00868,0.00868,0.00868
22,1708.98,2.09563,2.04554,1.03076,0.72123,0.64719,0.68219,0.26011,2.05672,1.80113,1.03962,0.008614,0.008614,0.008614
23,1786.06,2.07373,2.01334,1.02802,0.81047,0.68357,0.74131,0.30364,2.03658,1.63601,1.05586,0.008548,0.008548,0.008548
24,1862.61,2.07325,1.98886,1.02806,0.11417,0.15546,0.08465,0.02137,4.144,5.45986,1.53432,0.008482,0.008482,0.008482
25,1940.86,2.09366,2.03282,1.0355,0.77818,0.64939,0.73423,0.30647,2.02147,1.72837,1.05131,0.008416,0.008416,0.008416
26,2014.96,2.05853,2.01119,1.02527,0.77818,0.64939,0.73423,0.30647,nan,nan,nan,0.00835,0.00835,0.00835
27,2096.52,2.04752,1.99099,1.02188,0.44715,0.40463,0.35246,0.09685,2.84515,2.59435,1.18501,0.008284,0.008284,0.008284
28,2174.03,2.04436,1.95739,1.01937,0.81655,0.68212,0.76295,0.33034,1.94039,1.6494,1.03176,0.008218,0.008218,0.008218
29,2252.09,2.05101,1.97195,1.02069,0.84321,0.68779,0.78472,0.33131,2.01072,1.58639,1.03795,0.008152,0.008152,0.008152
30,2330.14,2.02612,1.93604,1.01853,0.80794,0.6505,0.73876,0.30634,2.07905,1.73902,1.06758,0.008086,0.008086,0.008086
31,2406.24,2.02234,1.90804,1.00987,0.80647,0.69019,0.77497,0.33188,1.96038,1.58137,1.03662,0.00802,0.00802,0.00802
32,2483.59,2.01713,1.89681,1.01275,0.83056,0.68097,0.77594,0.329,1.98308,1.5692,1.0525,0.007954,0.007954,0.007954
33,2556.32,2.03377,1.91563,1.01469,0.63779,0.172,0.20426,0.08178,nan,nan,nan,0.007888,0.007888,0.007888
34,2639.05,2.00831,1.90602,1.01281,0.82144,0.64939,0.74162,0.30768,1.9579,1.65499,1.03636,0.007822,0.007822,0.007822
35,2714.72,2.01954,1.89802,1.017,0.76638,0.68718,0.7512,0.31473,2.0032,1.76125,1.05173,0.007756,0.007756,0.007756
36,2793.73,2.00636,1.92135,1.01881,0.77466,0.64609,0.71927,0.31654,1.94766,1.70751,1.03569,0.00769,0.00769,0.00769
37,2872.22,1.98627,1.89731,1.00294,0.79249,0.68632,0.75856,0.30998,1.94643,1.57494,1.03333,0.007624,0.007624,0.007624
38,2949.21,1.996,1.87995,1.01183,0.75668,0.67255,0.73398,0.27051,2.23649,1.82549,1.07572,0.007558,0.007558,0.007558
39,3027.17,1.99945,1.87448,1.00937,0.81211,0.66262,0.76123,0.32498,1.97742,1.63454,1.03155,0.007492,0.007492,0.007492
40,3104.89,1.97389,1.86489,0.99809,0.8228,0.66042,0.77451,0.32836,1.98339,1.75651,1.04246,0.007426,0.007426,0.007426
41,3182.83,1.99171,1.87887,1.00606,0.75129,0.64609,0.72093,0.2912,2.07091,1.74778,1.05388,0.00736,0.00736,0.00736
42,3261.86,1.97265,1.84902,1.00072,0.79596,0.67526,0.77173,0.31821,1.97764,1.67997,1.03232,0.007294,0.007294,0.007294
