epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.6037,3.10723,51.9926,1.40102,0.46079,0.41125,0.3559,0.1055,2.54834,2.93544,1.08867,0.0703529,0.00329412,0.00329412
2,151.507,2.35389,2.76759,1.06289,0.59072,0.56015,0.54693,0.20429,2.13791,3.23265,1.04173,0.0403092,0.00658371,0.00658371
3,225.728,2.4485,2.75721,1.07123,0.55937,0.42778,0.39727,0.11651,2.65347,6.67244,1.17248,0.0102215,0.0098293,0.0098293
4,299.692,2.43548,2.51834,1.09245,0.25192,0.19735,0.12672,0.03115,3.36143,7.1142,1.21977,0.009802,0.009802,0.009802
5,373.686,2.31483,2.31314,1.06157,0.67773,0.56229,0.59479,0.21344,2.22724,2.31867,1.06821,0.009736,0.009736,0.009736
6,449.123,2.24395,2.18466,1.05486,0.57102,0.6208,0.54798,0.18913,2.2682,2.09462,1.07837,0.00967,0.00967,0.00967
7,522.986,2.17875,2.08589,1.04314,0.64883,0.6152,0.61777,0.22708,2.11524,2.05497,1.0413,0.009604,0.009604,0.009604
8,598.56,2.14856,2.10142,1.03472,0.5837,0.59316,0.57332,0.18344,2.43926,2.13749,1.04961,0.009538,0.009538,0.009538
9,673.323,2.11106,1.99052,1.0216,0.78414,0.6516,0.73675,0.2834,2.02863,1.75137,1.01866,0.009472,0.009472,0.009472
10,748.528,2.0696,1.99225,1.01788,0.73946,0.65821,0.71107,0.2808,2.05281,1.72343,1.04504,0.009406,0.009406,0.009406
11,823.781,2.06915,1.95027,1.01579,0.74319,0.69019,0.70533,0.27719,1.986,1.71579,1.01585,0.00934,0.00934,0.00934
12,898.8,2.05208,1.91082,1.01155,0.76065,0.6516,0.7497,0.32052,1.99237,1.73161,1.05211,0.009274,0.009274,0.009274
13,973.266,2.0201,1.87973,1.00717,0.8159,0.70849,0.77602,0.31599,1.94957,1.66395,1.01813,0.009208,0.009208,0.009208
14,1047.44,2.03208,1.87023,1.00448,0.84023,0.72547,0.79731,0.34275,1.88514,1.59454,1.01578,0.009142,0.009142,0.009142
