epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0257,3.68475,154.244,1.35239,0.02388,0.09917,0.01107,0.00317,3.53982,10.0594,1.2528,0.000652174,0.000652174,0.000652174
2,66.6619,2.83636,3.2051,0.99151,0.09707,0.07989,0.03604,0.00783,4.12246,4.59294,1.19104,0.00131014,0.00131014,0.00131014
3,97.7825,2.69733,2.85868,0.96647,0.34961,0.32645,0.20337,0.05443,2.76908,3.14116,0.98466,0.0019593,0.0019593,0.0019593
4,128.769,2.65688,2.6912,0.96621,0.19462,0.46832,0.25716,0.08651,2.76349,4.31832,1.00943,0.0019604,0.0019604,0.0019604
5,159.903,2.60872,2.64667,0.96239,0.22831,0.38292,0.16606,0.04267,2.6171,3.59255,0.94972,0.0019472,0.0019472,0.0019472
6,191.259,2.53091,2.55457,0.94883,0.53581,0.42134,0.37629,0.11551,2.50261,2.63297,0.93222,0.001934,0.001934,0.001934
7,222.815,2.48985,2.46395,0.94829,0.57772,0.4449,0.43555,0.13929,2.41718,2.29909,0.92875,0.0019208,0.0019208,0.0019208
8,254.207,2.43625,2.35034,0.92794,0.61198,0.44628,0.46142,0.14229,2.42015,2.26434,0.92134,0.0019076,0.0019076,0.0019076
9,285.737,2.38635,2.3213,0.92396,0.56969,0.46832,0.44578,0.13217,2.48985,2.35417,0.94406,0.0018944,0.0018944,0.0018944
10,316.964,2.38656,2.33464,0.92475,0.64399,0.47658,0.51391,0.17901,2.3576,2.20332,0.92391,0.0018812,0.0018812,0.0018812
11,348.453,2.38203,2.23253,0.92854,0.57598,0.53306,0.51733,0.17283,2.30835,2.12358,0.92097,0.001868,0.001868,0.001868
12,379.835,2.31127,2.24802,0.92828,0.56138,0.43016,0.43449,0.13394,2.35131,2.2755,0.91325,0.0018548,0.0018548,0.0018548
13,411.17,2.32266,2.23192,0.9104,0.6115,0.45592,0.46978,0.14642,2.39201,2.30253,0.91078,0.0018416,0.0018416,0.0018416
14,442.064,2.34134,2.13668,0.91435,0.62943,0.50964,0.51057,0.16764,2.21096,2.03506,0.9051,0.0018284,0.0018284,0.0018284
15,473.315,2.32214,2.23488,0.91673,0.68024,0.50826,0.55506,0.20013,2.22078,2.09901,0.91823,0.0018152,0.0018152,0.0018152
16,504.723,2.3022,2.16538,0.91258,0.6476,0.44297,0.4912,0.16091,2.36227,2.33344,0.92527,0.001802,0.001802,0.001802
17,536.161,2.28145,2.15809,0.90964,0.65632,0.48136,0.51498,0.17383,2.21687,2.03373,0.92068,0.0017888,0.0017888,0.0017888
18,567.396,2.26951,2.12512,0.9147,0.68217,0.52204,0.56287,0.20307,2.18311,1.99262,0.91354,0.0017756,0.0017756,0.0017756
19,598.809,2.25371,2.12495,0.91111,0.69991,0.53306,0.56387,0.18335,2.17836,1.95355,0.90857,0.0017624,0.0017624,0.0017624
20,630.354,2.22625,2.05706,0.90953,0.65661,0.52204,0.54297,0.17161,2.27855,2.00975,0.90513,0.0017492,0.0017492,0.0017492
21,662.093,2.25175,2.02992,0.91042,0.70313,0.53177,0.57591,0.20693,2.18323,1.95952,0.91623,0.001736,0.001736,0.001736
22,693.5,2.16469,2.0075,0.90645,0.6716,0.54408,0.56956,0.2037,2.14205,1.90149,0.89549,0.0017228,0.0017228,0.0017228
23,724.592,2.23129,1.99161,0.91099,0.61841,0.4573,0.46314,0.14252,2.54001,2.33153,0.91374,0.0017096,0.0017096,0.0017096
24,755.973,2.22179,1.98712,0.90828,0.70491,0.52479,0.57913,0.2101,2.20567,1.98446,0.89296,0.0016964,0.0016964,0.0016964
25,787.329,2.16321,1.97794,0.89561,0.72378,0.50275,0.57756,0.2065,2.16995,1.92128,0.89457,0.0016832,0.0016832,0.0016832
26,818.739,2.1698,2.03366,0.90081,0.69826,0.52893,0.58515,0.21631,2.11424,1.92114,0.90036,0.00167,0.00167,0.00167
27,850.347,2.17848,1.9749,0.90274,0.64097,0.51377,0.54532,0.18922,2.16483,1.94566,0.90771,0.0016568,0.0016568,0.0016568
28,881.667,2.16616,1.98292,0.9049,0.69341,0.54821,0.57461,0.20652,2.13285,1.84449,0.9048,0.0016436,0.0016436,0.0016436
29,912.954,2.16986,1.96755,0.90189,0.73316,0.51092,0.57174,0.19932,2.14624,1.90508,0.89478,0.0016304,0.0016304,0.0016304
30,944.33,2.16281,1.93269,0.89463,0.74227,0.55935,0.61308,0.21865,2.09706,1.83571,0.89553,0.0016172,0.0016172,0.0016172
31,975.757,2.18209,1.92842,0.89342,0.73645,0.56887,0.63198,0.23515,2.12227,1.86911,0.89792,0.001604,0.001604,0.001604
32,1007.24,2.14737,1.89205,0.89287,0.7525,0.57438,0.62958,0.24854,2.06581,1.77515,0.8915,0.0015908,0.0015908,0.0015908
33,1038.73,2.142,1.95114,0.89242,0.73918,0.54683,0.59824,0.21765,2.12602,1.91528,0.89467,0.0015776,0.0015776,0.0015776
34,1070.23,2.07819,1.8723,0.88309,0.70777,0.5551,0.60875,0.22124,2.12135,1.84419,0.88845,0.0015644,0.0015644,0.0015644
35,1101.74,2.12037,1.86003,0.8914,0.73747,0.57438,0.63029,0.2329,2.03445,1.80351,0.8912,0.0015512,0.0015512,0.0015512
36,1133.31,2.12047,1.84589,0.89004,0.75721,0.56275,0.61548,0.23511,2.04707,1.85013,0.8865,0.001538,0.001538,0.001538
37,1165.02,2.08544,1.86993,0.88753,0.68005,0.54545,0.56584,0.1956,2.26427,1.90888,0.88965,0.0015248,0.0015248,0.0015248
38,1196.63,2.09515,1.8615,0.89742,0.74972,0.55647,0.62753,0.23582,2.096,1.95149,0.89189,0.0015116,0.0015116,0.0015116
39,1228.1,2.11283,1.85851,0.89652,0.77372,0.58127,0.64644,0.23832,2.05392,1.74065,0.8851,0.0014984,0.0014984,0.0014984
40,1259.49,2.08123,1.82939,0.88752,0.7424,0.58953,0.64039,0.24757,2.01959,1.70849,0.88962,0.0014852,0.0014852,0.0014852
41,1291.36,2.10307,1.8416,0.87744,0.74745,0.54132,0.59641,0.21071,2.09646,1.89977,0.89107,0.001472,0.001472,0.001472
42,1322.93,2.09151,1.83119,0.88289,0.71826,0.56061,0.60984,0.22917,2.05964,1.74445,0.89062,0.0014588,0.0014588,0.0014588
43,1354.62,2.06587,1.80693,0.88586,0.74563,0.59229,0.65539,0.24174,2.06761,1.76215,0.88848,0.0014456,0.0014456,0.0014456
44,1386.48,2.05777,1.79555,0.88441,0.72291,0.51928,0.59518,0.22623,2.11467,1.87808,0.89493,0.0014324,0.0014324,0.0014324
45,1418.2,2.03792,1.77221,0.87649,0.77674,0.57713,0.65628,0.26378,2.00526,1.68381,0.88956,0.0014192,0.0014192,0.0014192
