epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3783,3.77448,30.8547,1.36077,0.00299,0.41598,0.00715,0.00124,2.9945,6.37697,1.01401,0.000652174,0.000652174,0.000652174
2,63.8568,2.8498,5.9744,0.98755,0.45577,0.22839,0.22904,0.06039,2.81176,3.68823,0.99675,0.00131014,0.00131014,0.00131014
3,93.576,2.693,4.447,0.96516,0.4399,0.37603,0.3088,0.08668,2.62167,2.79226,0.94998,0.0019593,0.0019593,0.0019593
4,123.074,2.71995,3.65162,0.97052,0.4091,0.37603,0.29761,0.08192,2.65126,2.81627,0.95887,0.0019604,0.0019604,0.0019604
5,152.077,2.63942,3.10742,0.96304,0.33776,0.2989,0.22401,0.05896,2.92671,2.87436,0.93763,0.0019472,0.0019472,0.0019472
6,180.996,2.60888,2.89003,0.95639,0.55307,0.41873,0.40606,0.12153,2.4523,2.50732,0.93878,0.001934,0.001934,0.001934
7,209.789,2.51543,2.6675,0.95101,0.55139,0.4146,0.40898,0.13355,2.43784,2.41718,0.93402,0.0019208,0.0019208,0.0019208
8,238.75,2.44525,2.54697,0.93117,0.5921,0.4449,0.43821,0.14459,2.39849,2.34649,0.92975,0.0019076,0.0019076,0.0019076
9,267.311,2.45848,2.51548,0.92898,0.52726,0.39532,0.39844,0.11784,2.48361,2.40494,0.92251,0.0018944,0.0018944,0.0018944
10,296.179,2.42928,2.48253,0.92927,0.6162,0.44766,0.46074,0.14786,2.33223,2.29176,0.91899,0.0018812,0.0018812,0.0018812
11,324.797,2.39963,2.3946,0.92948,0.61821,0.44215,0.45599,0.14155,2.41561,2.38919,0.92354,0.001868,0.001868,0.001868
12,353.682,2.35286,2.32283,0.93387,0.68245,0.47521,0.52042,0.1694,2.3276,2.01104,0.91546,0.0018548,0.0018548,0.0018548
13,382.465,2.38218,2.36223,0.91519,0.59359,0.52617,0.51717,0.18059,2.24711,2.26857,0.91231,0.0018416,0.0018416,0.0018416
14,411.391,2.36136,2.27335,0.91792,0.69544,0.46864,0.51182,0.1612,2.32709,2.1481,0.91132,0.0018284,0.0018284,0.0018284
15,440.523,2.37162,2.37328,0.92419,0.636,0.50689,0.50169,0.16757,2.31592,2.16329,0.91184,0.0018152,0.0018152,0.0018152
16,469.456,2.35454,2.30301,0.9195,0.57736,0.42902,0.4316,0.13453,2.40899,2.51023,0.93891,0.001802,0.001802,0.001802
17,498.522,2.34285,2.26548,0.91324,0.61062,0.52617,0.50438,0.16549,2.31517,2.15613,0.91217,0.0017888,0.0017888,0.0017888
18,527.595,2.29749,2.20039,0.91599,0.66353,0.50413,0.53233,0.18106,2.27596,2.02731,0.918,0.0017756,0.0017756,0.0017756
19,556.686,2.29561,2.18738,0.91407,0.66651,0.50653,0.53291,0.18019,2.25525,2.01893,0.9096,0.0017624,0.0017624,0.0017624
20,585.777,2.24054,2.13478,0.91198,0.65612,0.51928,0.52291,0.16591,2.33445,2.04944,0.90128,0.0017492,0.0017492,0.0017492
21,614.853,2.28202,2.12456,0.91409,0.68359,0.50138,0.52996,0.1696,2.29668,2.17269,0.89638,0.001736,0.001736,0.001736
22,644.068,2.22247,2.10369,0.91374,0.72125,0.52893,0.56965,0.19949,2.17247,1.94283,0.91411,0.0017228,0.0017228,0.0017228
23,673.429,2.28052,2.10841,0.91693,0.70368,0.5427,0.5766,0.19862,2.24086,2.06353,0.9111,0.0017096,0.0017096,0.0017096
24,702.957,2.27283,2.12261,0.91461,0.70583,0.52204,0.57125,0.20096,2.18809,1.9311,0.90489,0.0016964,0.0016964,0.0016964
25,732.351,2.26352,2.10109,0.90815,0.71703,0.49561,0.55763,0.20235,2.18469,1.95984,0.90187,0.0016832,0.0016832,0.0016832
