epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.775,3.76241,29.7754,1.3393,0.00483,0.427,0.02314,0.00698,3.1234,6.13817,1.02319,0.000652174,0.000652174,0.000652174
2,36.9057,2.87244,5.96155,0.99135,0.55968,0.17683,0.22323,0.05942,2.76887,3.59056,0.96599,0.00131014,0.00131014,0.00131014
3,53.9203,2.69844,4.45187,0.96725,0.43404,0.34015,0.26859,0.07736,2.53789,2.95012,0.95302,0.0019593,0.0019593,0.0019593
4,70.882,2.73359,3.63472,0.97,0.31185,0.32094,0.2186,0.05662,2.77444,2.87919,0.96926,0.0019604,0.0019604,0.0019604
5,88.0283,2.67933,3.14907,0.96513,0.47339,0.36032,0.31501,0.08646,2.64381,2.52889,0.95221,0.0019472,0.0019472,0.0019472
6,105.134,2.55685,2.79473,0.94962,0.56232,0.38981,0.39245,0.11911,2.43732,2.44424,0.92974,0.001934,0.001934,0.001934
7,121.89,2.49779,2.69165,0.94975,0.52168,0.41613,0.38606,0.11739,2.54952,2.46764,0.93805,0.0019208,0.0019208,0.0019208
8,139.204,2.53325,2.61633,0.94221,0.51526,0.44904,0.41563,0.13583,2.41766,2.30189,0.921,0.0019076,0.0019076,0.0019076
9,156.305,2.47311,2.56249,0.93087,0.52261,0.42562,0.39919,0.11945,2.46201,2.33396,0.93322,0.0018944,0.0018944,0.0018944
10,173.329,2.48276,2.53925,0.93634,0.56565,0.47521,0.46363,0.15338,2.33483,2.28546,0.91845,0.0018812,0.0018812,0.0018812
11,190.361,2.39618,2.40501,0.93041,0.61273,0.427,0.45548,0.15107,2.3994,2.22482,0.92955,0.001868,0.001868,0.001868
12,207.397,2.36217,2.38626,0.93239,0.60752,0.47107,0.46644,0.14914,2.36238,2.27072,0.9224,0.0018548,0.0018548,0.0018548
13,224.353,2.39023,2.36515,0.91167,0.65371,0.49174,0.51745,0.18308,2.22521,2.03411,0.91334,0.0018416,0.0018416,0.0018416
