epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2278,3.90853,157.076,1.41976,0.25205,0.28512,0.12977,0.02957,3.1415,14.5763,1.0261,0.000652174,0.000652174,0.000652174
2,69.2512,2.88989,3.17719,0.99052,0.24627,0.35418,0.13906,0.0369,2.91551,6.87592,1.01003,0.00131014,0.00131014,0.00131014
3,98.8028,2.6667,2.89745,0.96244,0.41923,0.37052,0.27598,0.07466,2.7738,3.18818,0.97321,0.0019593,0.0019593,0.0019593
4,128.329,2.64747,2.70084,0.96145,0.45461,0.39669,0.35393,0.10905,2.60055,2.58967,0.94837,0.0019604,0.0019604,0.0019604
5,157.73,2.60522,2.53742,0.95545,0.51552,0.41873,0.36979,0.1017,2.58889,2.4209,0.96105,0.0019472,0.0019472,0.0019472
6,188.135,2.52092,2.51443,0.94601,0.5055,0.43649,0.40248,0.11911,2.53615,2.77404,0.92688,0.001934,0.001934,0.001934
7,217.686,2.45602,2.45054,0.94385,0.61207,0.45455,0.46125,0.14845,2.31321,2.25989,0.92563,0.0019208,0.0019208,0.0019208
8,247.619,2.44699,2.41061,0.93184,0.63149,0.50512,0.51877,0.16738,2.34684,2.13096,0.9207,0.0019076,0.0019076,0.0019076
9,277.819,2.41962,2.33367,0.92423,0.56824,0.47134,0.45152,0.14083,2.45575,2.21393,0.91558,0.0018944,0.0018944,0.0018944
10,307.111,2.37491,2.34283,0.91697,0.66883,0.52299,0.53774,0.19024,2.24559,2.04594,0.91527,0.0018812,0.0018812,0.0018812
11,336.913,2.32358,2.20775,0.92088,0.65967,0.48209,0.50169,0.16536,2.25714,2.15473,0.9272,0.001868,0.001868,0.001868
12,366.57,2.29439,2.21027,0.91835,0.64598,0.47107,0.50115,0.1624,2.25774,2.05716,0.90254,0.0018548,0.0018548,0.0018548
13,396.305,2.33183,2.22482,0.90905,0.65212,0.50689,0.5434,0.19621,2.22728,1.97348,0.91273,0.0018416,0.0018416,0.0018416
14,425.751,2.31642,2.14831,0.91132,0.68908,0.51896,0.55658,0.19457,2.14476,1.91964,0.90107,0.0018284,0.0018284,0.0018284
15,455.164,2.31146,2.23667,0.9151,0.675,0.54641,0.56019,0.18736,2.22531,2.02271,0.90747,0.0018152,0.0018152,0.0018152
16,484.516,2.27415,2.15702,0.91106,0.63892,0.53132,0.54643,0.18905,2.22905,2.00539,0.91548,0.001802,0.001802,0.001802
17,514.043,2.29133,2.15962,0.90774,0.6783,0.51377,0.56637,0.19988,2.23479,2.02695,0.91198,0.0017888,0.0017888,0.0017888
18,543.687,2.25837,2.11182,0.90896,0.69987,0.55372,0.58502,0.2097,2.14171,1.88606,0.90115,0.0017756,0.0017756,0.0017756
19,573.42,2.26114,2.14909,0.91035,0.56721,0.45455,0.45232,0.14384,2.42166,2.42749,0.9186,0.0017624,0.0017624,0.0017624
20,602.991,2.22233,2.06305,0.90734,0.71689,0.55096,0.58533,0.19113,2.18591,1.91843,0.89644,0.0017492,0.0017492,0.0017492
21,632.143,2.23859,2.02286,0.90345,0.66545,0.5303,0.56928,0.19756,2.19951,1.91492,0.90324,0.001736,0.001736,0.001736
22,661.67,2.1794,2.01938,0.9073,0.66871,0.53383,0.56946,0.2045,2.17865,1.90885,0.90976,0.0017228,0.0017228,0.0017228
23,691.014,2.24152,2.04314,0.91058,0.72568,0.5427,0.60054,0.22022,2.15481,1.91369,0.89875,0.0017096,0.0017096,0.0017096
24,720.962,2.22043,1.99045,0.90883,0.7632,0.52755,0.59301,0.21575,2.144,1.8171,0.90425,0.0016964,0.0016964,0.0016964
25,750.703,2.15738,1.98012,0.89643,0.70591,0.55372,0.57986,0.20701,2.13906,1.83031,0.89388,0.0016832,0.0016832,0.0016832
26,780.002,2.16096,2.00676,0.89816,0.72607,0.58264,0.63139,0.2414,2.08804,1.73981,0.89257,0.00167,0.00167,0.00167
27,809.427,2.14109,1.96093,0.8963,0.73468,0.57576,0.62701,0.23638,2.12885,1.7798,0.8978,0.0016568,0.0016568,0.0016568
