epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7844,3.78786,82.8477,1.40236,0.06872,0.15978,0.02526,0.00739,3.03564,38.2616,1.02191,0.000652174,0.000652174,0.000652174
2,63.2855,2.89908,3.20189,0.99659,0.38446,0.31543,0.23815,0.06608,2.92239,3.25048,1.03145,0.00131014,0.00131014,0.00131014
3,92.8516,2.72869,2.86229,0.9766,0.318,0.30303,0.18797,0.05164,2.91867,3.22972,1.01188,0.0019593,0.0019593,0.0019593
4,122.62,2.75411,2.83007,0.97221,0.41868,0.33134,0.26926,0.07187,3.25779,3.02071,1.16294,0.0019604,0.0019604,0.0019604
5,152.403,2.73346,2.68567,0.97229,0.52748,0.41977,0.41027,0.11475,2.61443,2.32326,0.95356,0.0019472,0.0019472,0.0019472
6,182.289,2.59432,2.57852,0.94777,0.59053,0.42837,0.43512,0.13623,2.4342,2.47569,0.93764,0.001934,0.001934,0.001934
7,212.248,2.49808,2.576,0.94772,0.58852,0.45902,0.45576,0.15364,2.36092,2.25555,0.93292,0.0019208,0.0019208,0.0019208
8,241.999,2.51823,2.48517,0.93355,0.51575,0.41663,0.3799,0.12139,2.37492,2.46509,0.92834,0.0019076,0.0019076,0.0019076
9,271.516,2.45347,2.37933,0.92541,0.5852,0.46281,0.42409,0.12229,2.43953,2.3112,0.92568,0.0018944,0.0018944,0.0018944
10,300.937,2.46461,2.40919,0.93263,0.5846,0.42258,0.43899,0.13712,2.44538,2.29785,0.9312,0.0018812,0.0018812,0.0018812
11,331.066,2.44042,2.32245,0.92999,0.64219,0.52066,0.51575,0.15768,2.44217,2.04814,0.9299,0.001868,0.001868,0.001868
12,361.661,2.37083,2.28596,0.92694,0.68669,0.49036,0.54267,0.18669,2.22694,2.07542,0.91302,0.0018548,0.0018548,0.0018548
13,392.635,2.34873,2.26685,0.91095,0.5206,0.4876,0.41795,0.13242,2.4207,2.24915,0.9226,0.0018416,0.0018416,0.0018416
14,423.307,2.3094,2.18512,0.9092,0.6811,0.51102,0.54172,0.1859,2.31144,1.96015,0.91662,0.0018284,0.0018284,0.0018284
15,454,2.3617,2.23694,0.91817,0.75078,0.50826,0.56916,0.19592,2.28651,1.97531,0.90605,0.0018152,0.0018152,0.0018152
16,484.768,2.29523,2.17389,0.912,0.61806,0.52342,0.53089,0.18957,2.24672,2.05028,0.91249,0.001802,0.001802,0.001802
17,515.459,2.31715,2.18206,0.90866,0.679,0.52893,0.56224,0.19185,2.20913,1.96931,0.91314,0.0017888,0.0017888,0.0017888
18,546.399,2.30588,2.18567,0.91366,0.625,0.50275,0.53248,0.19621,2.20198,1.95849,0.91189,0.0017756,0.0017756,0.0017756
19,577.129,2.29951,2.1755,0.91205,0.69661,0.50689,0.54142,0.18963,2.23537,1.93763,0.89689,0.0017624,0.0017624,0.0017624
20,608.361,2.26706,2.04477,0.91208,0.66195,0.51653,0.54931,0.19221,2.27677,1.9258,0.89821,0.0017492,0.0017492,0.0017492
21,639.607,2.28295,2.03416,0.90701,0.75776,0.49449,0.57413,0.21516,2.15735,1.87481,0.9023,0.001736,0.001736,0.001736
22,670.666,2.2117,2.03064,0.90764,0.69404,0.54132,0.57555,0.20388,2.17401,1.94147,0.89984,0.0017228,0.0017228,0.0017228
23,701.401,2.2615,2.08934,0.90962,0.68206,0.54132,0.57467,0.20538,2.17686,1.81311,0.91207,0.0017096,0.0017096,0.0017096
24,731.926,2.20872,1.97527,0.904,0.71463,0.52429,0.59128,0.22446,2.15736,1.86672,0.89434,0.0016964,0.0016964,0.0016964
25,762.417,2.2033,1.96432,0.89698,0.70046,0.49602,0.54054,0.19229,2.32102,1.92325,0.90448,0.0016832,0.0016832,0.0016832
26,793.03,2.2078,2.0206,0.90013,0.72304,0.5358,0.59733,0.22306,2.11515,1.79823,0.89511,0.00167,0.00167,0.00167
27,823.752,2.19688,2.02365,0.90388,0.73242,0.52479,0.58101,0.21842,2.13694,1.8828,0.89882,0.0016568,0.0016568,0.0016568
28,854.641,2.17608,1.99712,0.90625,0.74881,0.56612,0.61158,0.21705,2.14636,1.83161,0.8975,0.0016436,0.0016436,0.0016436
29,885.361,2.17877,2.0234,0.89857,0.688,0.50138,0.54051,0.19434,2.26495,1.88129,0.90548,0.0016304,0.0016304,0.0016304
30,915.145,2.19483,1.92423,0.8996,0.73073,0.56336,0.62225,0.23194,2.0849,1.77317,0.8938,0.0016172,0.0016172,0.0016172
31,944.947,2.1839,1.94578,0.89734,0.76137,0.55372,0.63601,0.24023,2.09992,1.80371,0.89986,0.001604,0.001604,0.001604
32,974.88,2.17663,1.93695,0.89515,0.783,0.52186,0.60861,0.23475,2.16918,1.80799,0.9057,0.0015908,0.0015908,0.0015908
33,1004.68,2.16819,1.96407,0.89139,0.78094,0.53306,0.62025,0.2273,2.07215,1.74369,0.89618,0.0015776,0.0015776,0.0015776
34,1034.27,2.1235,1.90238,0.8834,0.67893,0.5534,0.58353,0.21978,2.18868,1.89048,0.89073,0.0015644,0.0015644,0.0015644
35,1064.04,2.12325,1.87046,0.89097,0.76716,0.54132,0.6296,0.24481,2.04996,1.70426,0.89296,0.0015512,0.0015512,0.0015512
