epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9044,0.00234,336.406,0.00136,0,0,0,0,0.00049,14.5177,0.00029,0.000652174,0.000652174,0.000652174
2,93.5121,0.04031,122.823,0.01677,0,0,0,0,5.7481,9.52233,2.04222,0.00131014,0.00131014,0.00131014
3,128.897,4.3908,22.8918,1.46893,0,0,0,0,nan,nan,nan,0.0019593,0.0019593,0.0019593
4,164.675,4.21597,6.86311,1.32354,5e-05,0.00689,2e-05,0,4.29528,inf,1.6633,0.0019604,0.0019604,0.0019604
5,200.149,3.99075,6.29986,1.23733,0.00225,0.1157,0.00128,0.00037,3.84183,53.1541,1.22794,0.0019472,0.0019472,0.0019472
6,235.77,3.85945,6.11901,1.23675,0.00281,0.3292,0.00259,0.00069,3.53028,5.62062,1.22317,0.001934,0.001934,0.001934
7,271.728,3.7619,6.01534,1.22671,0.00221,0.29752,0.00191,0.00046,3.57018,5.78004,1.18444,0.0019208,0.0019208,0.0019208
8,307.58,3.72709,5.94198,1.21029,0.00321,0.31818,0.0037,0.00094,3.46738,5.61619,1.18621,0.0019076,0.0019076,0.0019076
9,343.285,3.61547,5.93595,1.18307,0.00273,0.29752,0.00235,0.00058,3.50748,5.63014,1.15304,0.0018944,0.0018944,0.0018944
10,378.878,3.57987,5.83821,1.17291,0.00254,0.33333,0.00236,0.00056,3.50539,5.58999,1.18634,0.0018812,0.0018812,0.0018812
11,414.151,3.49369,5.71012,1.17384,0.00266,0.30441,0.00321,0.00071,3.53064,5.43864,1.18044,0.001868,0.001868,0.001868
12,449.466,3.47616,5.18402,1.17116,0.12686,0.03444,0.01943,0.0043,3.59582,4.62206,1.19929,0.0018548,0.0018548,0.0018548
13,484.983,3.41734,4.53107,1.14105,0.19787,0.13774,0.07008,0.0163,3.16318,3.95407,1.11895,0.0018416,0.0018416,0.0018416
14,520.374,3.37473,4.06625,1.12103,0.20722,0.07438,0.05312,0.01166,3.26809,4.07287,1.15946,0.0018284,0.0018284,0.0018284
15,556.023,3.24021,3.94448,1.11466,0.29121,0.13361,0.09519,0.02309,3.16315,3.47099,1.11815,0.0018152,0.0018152,0.0018152
16,591.338,3.15055,3.62281,1.09407,0.37499,0.25482,0.18456,0.04731,3.00204,2.83677,1.10355,0.001802,0.001802,0.001802
17,628.345,2.97846,3.2561,1.06936,0.37593,0.27961,0.21974,0.06005,2.95965,2.71477,1.088,0.0017888,0.0017888,0.0017888
18,663.788,2.86417,3.08972,1.06037,0.49616,0.27273,0.27687,0.07781,2.71564,2.82096,1.06477,0.0017756,0.0017756,0.0017756
19,699.09,2.87388,2.98725,1.05899,0.51899,0.20937,0.23687,0.06365,2.71094,3.22681,1.07096,0.0017624,0.0017624,0.0017624
20,734.381,2.79051,2.90082,1.05212,0.53464,0.35448,0.32553,0.09327,2.60206,2.49252,1.04278,0.0017492,0.0017492,0.0017492
21,769.857,2.7265,2.74457,1.0318,0.53686,0.32645,0.30714,0.09076,2.62086,2.60704,1.04888,0.001736,0.001736,0.001736
22,805.346,2.69103,2.78132,1.03592,0.55423,0.30716,0.32056,0.09749,2.60403,2.76342,1.05458,0.0017228,0.0017228,0.0017228
23,840.763,2.68811,2.782,1.03519,0.54147,0.34435,0.32195,0.09008,2.59577,2.64232,1.04552,0.0017096,0.0017096,0.0017096
24,876.271,2.66331,2.73322,1.0266,0.49128,0.33471,0.31144,0.09145,2.57654,2.64893,1.0476,0.0016964,0.0016964,0.0016964
25,911.721,2.60035,2.69135,1.02015,0.50611,0.37264,0.33846,0.10587,2.44054,2.37219,1.00966,0.0016832,0.0016832,0.0016832
26,947.408,2.6128,2.72947,1.01838,0.48823,0.39027,0.32773,0.0993,2.48124,2.3286,1.01133,0.00167,0.00167,0.00167
27,982.829,2.55296,2.62922,1.01352,0.58047,0.41736,0.41759,0.12685,2.42083,2.35978,1.01482,0.0016568,0.0016568,0.0016568
28,1018.44,2.54718,2.51743,1.01664,0.61102,0.37466,0.38752,0.11659,2.47737,2.331,1.01843,0.0016436,0.0016436,0.0016436
29,1054.02,2.54018,2.57034,0.9994,0.52356,0.2989,0.26368,0.068,2.97398,2.46409,1.11454,0.0016304,0.0016304,0.0016304
30,1089.59,2.5237,2.49887,0.99925,0.61062,0.40392,0.41671,0.13295,2.36086,2.2447,0.99831,0.0016172,0.0016172,0.0016172
31,1125.5,2.515,2.52189,0.99919,0.59262,0.38981,0.40029,0.12673,2.3706,2.27535,1.00317,0.001604,0.001604,0.001604
32,1161.05,2.52251,2.54085,1.00257,0.58462,0.36445,0.38887,0.1189,2.49926,2.41926,1.01069,0.0015908,0.0015908,0.0015908
33,1196.73,2.51529,2.53237,1.00033,0.52824,0.40871,0.39781,0.13355,2.34784,2.15412,1.00188,0.0015776,0.0015776,0.0015776
34,1232.21,2.43751,2.4562,0.98385,0.57784,0.40157,0.41244,0.13038,2.32404,2.14043,0.9901,0.0015644,0.0015644,0.0015644
35,1267.96,2.44558,2.4514,0.98818,0.63026,0.44611,0.446,0.13934,2.36113,2.0758,0.99755,0.0015512,0.0015512,0.0015512
36,1304.29,2.47329,2.42222,0.99008,0.58276,0.40496,0.42168,0.14382,2.28391,2.1436,0.99567,0.001538,0.001538,0.001538
37,1340.24,2.48876,2.43956,0.99207,0.55461,0.41047,0.40364,0.12923,2.37732,2.08232,1.00618,0.0015248,0.0015248,0.0015248
38,1375.77,2.44274,2.43302,1.00136,0.63243,0.38017,0.40524,0.12358,2.39284,2.38341,1.01271,0.0015116,0.0015116,0.0015116
39,1411.35,2.43148,2.33713,0.99438,0.55351,0.39945,0.38755,0.12396,2.39934,2.1925,0.98605,0.0014984,0.0014984,0.0014984
40,1447.03,2.43441,2.32944,0.98276,0.61353,0.41322,0.42055,0.13357,2.42244,2.24938,1.01515,0.0014852,0.0014852,0.0014852
41,1482.83,2.35667,2.32073,0.96825,0.59264,0.41873,0.42339,0.13433,2.36494,2.15337,1.0041,0.001472,0.001472,0.001472
42,1518.7,2.38324,2.38542,0.97862,0.66272,0.44657,0.47551,0.15609,2.25049,1.9682,0.98186,0.0014588,0.0014588,0.0014588
43,1554.61,2.38143,2.3473,0.97623,0.6378,0.42975,0.46813,0.15112,2.28783,2.1135,0.99181,0.0014456,0.0014456,0.0014456
44,1590.06,2.38407,2.27708,0.98158,0.64079,0.43388,0.45797,0.14653,2.26955,2.06861,0.99363,0.0014324,0.0014324,0.0014324
