epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.754,3.14386,12.4721,1.43506,0.11921,0.71555,0.43597,0.14845,2.47994,4.31119,1.13507,0.0703529,0.00329412,0.00329412
2,229.061,2.50711,3.13449,1.10376,0.5932,0.53473,0.54384,0.19792,2.30162,2.70777,1.09655,0.0403092,0.00658371,0.00658371
3,342.646,2.50388,2.99674,1.10233,0.56009,0.46748,0.44077,0.13381,2.51968,4.44807,1.12471,0.0102215,0.0098293,0.0098293
4,454.223,2.46109,2.72573,1.09606,0.63032,0.5645,0.57226,0.21209,2.20844,2.69576,1.1067,0.009802,0.009802,0.009802
5,566.154,2.35957,2.50149,1.07089,0.62165,0.57442,0.58145,0.19015,2.37991,2.5982,1.10179,0.009736,0.009736,0.009736
6,678.213,2.28112,2.37932,1.06096,0.59695,0.55568,0.56223,0.19062,2.27643,2.05249,1.07319,0.00967,0.00967,0.00967
7,789.136,2.23451,2.28505,1.05035,0.6742,0.64609,0.64414,0.23412,2.13919,2.09358,1.07129,0.009604,0.009604,0.009604
8,903.466,2.20428,2.23324,1.04717,0.63166,0.6097,0.61077,0.22539,2.12777,2.08611,1.07241,0.009538,0.009538,0.009538
9,1015.86,2.13888,2.16171,1.0314,0.75019,0.66218,0.73576,0.28451,1.97595,1.91353,1.03384,0.009472,0.009472,0.009472
10,1129.37,2.12008,2.10032,1.02936,0.68404,0.58104,0.63856,0.22367,2.23902,1.9934,1.05547,0.009406,0.009406,0.009406
11,1240.87,2.0925,2.05126,1.02265,0.77991,0.67475,0.74195,0.30763,1.97519,1.88328,1.03248,0.00934,0.00934,0.00934
12,1354.61,2.08881,2.05275,1.02075,0.8432,0.65711,0.74312,0.30603,2.0063,1.7962,1.03172,0.009274,0.009274,0.009274
13,1466.76,2.07554,1.98284,1.00887,0.80392,0.68357,0.76748,0.30541,2.016,1.78946,1.03369,0.009208,0.009208,0.009208
14,1579.32,2.05174,1.95998,1.00763,0.86159,0.6516,0.76581,0.31869,1.98528,1.82194,1.03128,0.009142,0.009142,0.009142
