epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.156,3.15948,45.6167,1.40749,0.10924,0.25469,0.06084,0.01552,3.59088,42.029,1.69083,0.0703529,0.00329412,0.00329412
2,207.862,2.5393,2.85209,1.15466,0.58943,0.50717,0.49429,0.14832,2.54566,4.47592,1.18828,0.0403092,0.00658371,0.00658371
3,305.433,2.47531,2.7761,1.14283,0.34589,0.4333,0.25551,0.07281,2.68121,4.31511,1.21993,0.0102215,0.0098293,0.0098293
4,403.184,2.39026,2.62056,1.11979,0.31272,0.29658,0.19272,0.05094,2.90756,3.9883,1.27743,0.009802,0.009802,0.009802
5,502.863,2.39957,2.54925,1.10418,0.49113,0.49614,0.38886,0.13046,2.30342,2.54776,1.11753,0.009736,0.009736,0.009736
6,600.483,2.39313,2.52029,1.10706,0.69605,0.57773,0.62231,0.20241,2.37103,2.44192,1.12011,0.00967,0.00967,0.00967
7,699.712,2.29417,2.44539,1.08657,0.58269,0.57773,0.55769,0.21206,2.17903,2.08373,1.09868,0.009604,0.009604,0.009604
8,799.19,2.27563,2.43104,1.09338,0.65876,0.56617,0.61009,0.21374,2.29234,2.65274,1.10548,0.009538,0.009538,0.009538
9,897.643,2.2497,2.31882,1.07393,0.7488,0.61411,0.67044,0.25273,2.08966,2.06315,1.06673,0.009472,0.009472,0.009472
10,995.385,2.20428,2.2334,1.06979,0.60695,0.56184,0.54317,0.17565,2.32829,2.23238,1.08845,0.009406,0.009406,0.009406
11,1093,2.20185,2.215,1.06763,0.72181,0.62734,0.67413,0.2541,2.12689,1.99213,1.07178,0.00934,0.00934,0.00934
12,1192.17,2.19064,2.22541,1.06185,0.70738,0.61521,0.66367,0.25351,2.09371,1.85249,1.07178,0.009274,0.009274,0.009274
13,1290.23,2.19252,2.15057,1.05624,0.34933,0.47189,0.33924,0.12409,2.24244,4.25371,1.10405,0.009208,0.009208,0.009208
14,1387.86,2.17416,2.16566,1.04897,0.80682,0.60639,0.71081,0.27697,2.08941,1.93418,1.05908,0.009142,0.009142,0.009142
15,1487.09,2.14551,2.12225,1.04156,0.76322,0.66593,0.71561,0.2699,2.10784,1.86738,1.0527,0.009076,0.009076,0.009076
