epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.686,3.05651,34.3694,1.40882,0.46306,0.4564,0.36864,0.12136,2.31208,2.7375,1.11097,0.0701765,0.00331373,0.00331373
2,307.195,2.37579,2.75435,1.07061,0.67953,0.58765,0.61048,0.21073,2.27737,2.14155,1.07003,0.0401326,0.00660319,0.00660319
3,453.54,2.40406,2.69109,1.06734,0.61645,0.53804,0.51736,0.14986,2.534,2.29173,1.11291,0.0100447,0.00984865,0.00984865
4,598.592,2.38879,2.45431,1.07396,0.55629,0.52481,0.48771,0.13602,2.46593,2.34696,1.09875,0.009802,0.009802,0.009802
5,743.412,2.28039,2.30979,1.0559,0.62165,0.54346,0.54369,0.17199,2.36532,2.14568,1.08319,0.009736,0.009736,0.009736
6,888.871,2.21875,2.19411,1.04709,0.63045,0.56991,0.6142,0.23079,2.15969,1.99709,1.07925,0.00967,0.00967,0.00967
7,1034.45,2.17301,2.12865,1.03676,0.61017,0.52481,0.51688,0.17084,2.25959,2.35535,1.08804,0.009604,0.009604,0.009604
8,1180.86,2.12848,2.09066,1.0327,0.824,0.68654,0.76631,0.33022,1.95321,1.71234,1.04866,0.009538,0.009538,0.009538
9,1326.28,2.10802,2.03669,1.0209,0.73727,0.65899,0.72473,0.30167,1.94383,1.7531,1.04166,0.009472,0.009472,0.009472
10,1471.84,2.08364,1.9884,1.02257,0.75666,0.67365,0.73735,0.30562,2.02368,1.75906,1.03873,0.009406,0.009406,0.009406
11,1617.37,2.08449,1.9526,1.00983,0.79541,0.71334,0.77687,0.32286,1.93362,1.64528,1.02698,0.00934,0.00934,0.00934
12,1761.9,2.04146,1.89929,1.00397,0.77154,0.71003,0.75611,0.30914,1.94639,1.66509,1.03522,0.009274,0.009274,0.009274
13,1906.9,2.02111,1.86001,1.00202,0.7948,0.72326,0.78137,0.33359,1.90428,1.6831,1.03397,0.009208,0.009208,0.009208
14,2052.19,2.02253,1.86915,0.99319,0.83039,0.71996,0.79756,0.35006,1.90398,1.57059,1.02178,0.009142,0.009142,0.009142
15,2198.03,1.98442,1.81709,0.98976,0.83042,0.75854,0.82354,0.36552,1.84565,1.5258,1.0165,0.009076,0.009076,0.009076
16,2343.15,1.97006,1.76962,0.99204,0.82805,0.74752,0.80675,0.35164,1.88351,1.53809,1.01855,0.00901,0.00901,0.00901
17,2488.36,1.98245,1.77258,0.98947,0.80732,0.75413,0.81155,0.34372,1.88736,1.49477,1.01756,0.008944,0.008944,0.008944
18,2634.27,1.96957,1.75775,0.99151,0.85776,0.71803,0.81178,0.36556,1.87851,1.54232,1.01125,0.008878,0.008878,0.008878
19,2779.34,1.9368,1.74052,0.98217,0.82701,0.73263,0.80158,0.34897,1.90122,1.53102,1.01766,0.008812,0.008812,0.008812
20,2925.27,1.92279,1.7028,0.97923,0.84793,0.73155,0.80856,0.36709,1.85086,1.56576,1.01791,0.008746,0.008746,0.008746
21,3070.02,1.94092,1.72833,0.97916,0.85478,0.74311,0.81457,0.35845,1.82044,1.51429,1.01533,0.00868,0.00868,0.00868
22,3215.63,1.9086,1.7096,0.98001,0.86758,0.74972,0.829,0.37185,1.82812,1.47581,1.00897,0.008614,0.008614,0.008614
23,3361.02,1.9095,1.67579,0.97268,0.85473,0.75247,0.83564,0.37383,1.85354,1.5155,1.00883,0.008548,0.008548,0.008548
24,3506.23,1.88937,1.67029,0.97025,0.86376,0.77288,0.83217,0.37447,1.82204,1.50049,1.01319,0.008482,0.008482,0.008482
25,3650.96,1.91306,1.66848,0.97034,0.84362,0.7613,0.83507,0.3727,1.80169,1.47748,0.99905,0.008416,0.008416,0.008416
26,3796.76,1.85871,1.64493,0.96458,0.8467,0.76075,0.8268,0.3762,1.8273,1.45703,1.00635,0.00835,0.00835,0.00835
27,3946.02,1.87165,1.63904,0.96291,0.87007,0.76957,0.83903,0.36998,1.83725,1.54207,1.00753,0.008284,0.008284,0.008284
28,4091.97,1.86941,1.64158,0.96842,0.87123,0.74592,0.84064,0.37686,1.8584,1.50208,1.00447,0.008218,0.008218,0.008218
29,4236.46,1.84631,1.60656,0.9599,0.88824,0.75634,0.83207,0.37039,1.82833,1.42126,0.99851,0.008152,0.008152,0.008152
30,4381.96,1.85509,1.63473,0.95721,0.84807,0.76736,0.83393,0.37371,1.82455,1.4274,0.99869,0.008086,0.008086,0.008086
31,4528.35,1.87203,1.63886,0.96263,0.83213,0.78155,0.81559,0.35099,1.8408,1.62211,0.998,0.00802,0.00802,0.00802
32,4674.18,1.83464,1.58023,0.95785,0.85911,0.75193,0.82585,0.38091,1.80985,1.43636,1.00466,0.007954,0.007954,0.007954
33,4819.79,1.83999,1.58594,0.95887,0.88378,0.76626,0.85062,0.39102,1.80005,1.44905,0.99993,0.007888,0.007888,0.007888
