epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.335,2.89474,10.3674,2.03917,0.00265,0.11246,0.00107,0.0003,4.09879,2063.56,2.17913,0.0702273,0.00330808,0.00330808
2,371.025,2.57798,3.49755,1.74634,0.28494,0.43109,0.20957,0.0555,2.96144,5.08223,1.3726,0.0401834,0.00659758,0.00659758
3,543.954,2.51531,3.35419,1.72583,0.46425,0.39912,0.3627,0.10447,2.68602,2.67113,1.25593,0.0100956,0.00984308,0.00984308
4,716.162,2.446,3.23912,1.71189,0.4374,0.45516,0.38333,0.11984,2.62643,2.63762,1.29446,0.009802,0.009802,0.009802
5,888.969,2.41726,3.14809,1.67667,0.54212,0.5237,0.5159,0.18276,2.34277,2.55891,1.18586,0.009736,0.009736,0.009736
6,1061.19,2.34224,3.01208,1.64887,0.66595,0.57442,0.60322,0.23122,2.21133,2.2166,1.14631,0.00967,0.00967,0.00967
7,1233.59,2.29943,2.98832,1.61463,0.67242,0.48181,0.52554,0.18449,2.25451,2.48344,1.16499,0.009604,0.009604,0.009604
8,1405.79,2.29799,2.99118,1.60895,0.66847,0.60088,0.60547,0.22997,2.17375,2.0719,1.14657,0.009538,0.009538,0.009538
9,1578.24,2.28081,2.81486,1.57446,0.66944,0.58765,0.609,0.21453,2.34145,2.00276,1.17036,0.009472,0.009472,0.009472
10,1750.15,2.28815,2.88893,1.61788,0.64831,0.57552,0.57421,0.18679,2.39586,2.19125,1.16736,0.009406,0.009406,0.009406
11,1922.54,2.24388,2.79023,1.5867,0.55335,0.42668,0.44208,0.16272,2.35296,2.7299,1.17998,0.00934,0.00934,0.00934
12,2094.99,2.23101,2.817,1.57801,0.64695,0.59647,0.61169,0.23166,2.1465,1.94948,1.11788,0.009274,0.009274,0.009274
13,2267.72,2.18592,2.71023,1.55626,0.73419,0.60639,0.65649,0.24758,2.07755,1.90422,1.12208,0.009208,0.009208,0.009208
14,2440.46,2.18642,2.60236,1.54871,0.77219,0.56891,0.67061,0.25824,2.09714,1.97799,1.10866,0.009142,0.009142,0.009142
